,弹幕,vid
0,电池【老子不想背锅了】,000355
1,终于要到无韭菜可割的时候了吗？,000369
2,你再骂！！！！！！！！,000368
3,早些还一千下,000357
4,讲解的特别好，非常适合刚要买基金的,000354
5,2,000358
6,很明显我已经到了觉得自己什么都不行了的地步，但是也那没钱,000363
7,1,000358
8,1,000367
9,这个模型是人们对克莱因瓶在三维的模拟，并不是真的克莱因瓶,000360
10,内脏脂肪多,000353
11,我有个朋友,000357
12,请证明我就是我,000365
13,？,000371
14,注入灵魂,000359
15,银行印的杠杆,000366
16,扯,000354
17,混入其中,000359
18,我记得之前看一个英国人说两种都可以啊……,000364
19,穿越火线,000360
20,我放着闲钱又没收益，放在基金当存钱，而且还能赚钱,000354
21,ばか,000368
22,11111,000358
23,3,000358
24,哈哈,000370
25,这里的ka应该浊化为ga吧,000368
26,都说水弹枪禁了，为啥还能看到有小孩在玩水弹枪,000372
27,万物给予传销,000366
28,咁饕餮哈哈哈哈哈哈笑死我了,000364
29,1,000358
30,电解质是纯净物,000355
31,我觉得讲的挺好的，横财让你觉得自己是位面之子，但并不是。,000363
32,高一化学细节题哈哈哈,000355
33,谁说钱买不来时间的？,000366
34,白酒能限价？,000369
35,22,000358
36,那我是地核程序员,000353
37,啥游戏啊这么真实,000372
38,生硬植入，竟毫无违和感,000359
39,哈哈,000367
40,割圆么？,000365
41,手跟不上听的,000362
42,被骂的是我们啊,000368
43,找瑞克·罗尔德,000371
44,水多，总有一款要当蓄水池,000369
45,笑死我了,000355
46,我靠，一个比一个拿我们当煞笔,000355
47,太真实了,000367
48,认同,000363
49,懂了，这就去买耳机。,000362
50,余弦定理啊大哥,000365
51,初中物理,000355
52,冷凝塔确实是水蒸气，但是这个蓝白相间的是烟囱啊,000372
53,自交材料吗？,000360
54,"真好玩,我已经氪到家徒四壁了",000359
55,∵书上写着3.14多∴它大于3.05。（ '▿ ' ）,000365
56,别说了我想静静,000362
57,新房呢,000366
58,你连一维，二维都无法真正表现在完全不含三维的形式里，还想看四维吗？,000360
59,爷被骗了,000371
60,泰语hhh,000364
61,说的对,000366
62,你影响了别人的利益，不喷你喷谁？,000354
63,我九年了，颈椎僵直越来越严重,000353
64,天道好轮回，苍天饶过谁,000361
65,我脑子开始疼了,000360
66,1,000358
67,如果物价能降低一半就好了,000369
68,看长相就知道你肯定是个大聪明,000354
69,组队偷人,000359
70,我为什么要看着这个,000363
71,电解质怎么个强法,000355
72,怒放的生命,000357
73,maya,000360
74,哈哈哈哈哈哈哈哈哈哈,000370
75,小伙子,000353
76,血檀还是花梨木？,000359
77,自愿咬钩,000371
78,被动做低房价省税,000369
79,那不叫装满那叫淹没,000360
80,注入灵魂,000359
81,好耶,000361
82,哼！,000353
83,这有啥难度,000365
84,3,000358
85,谢尔顿,000364
86,我就是在熔断的时候买的,000354
87,33333333,000358
88,银行你永远赚不到,000354
89,水果不宜多吃,000353
90,c语言,000368
91,用尺子量？,000365
92,注入灵魂,000359
93,人间真实,000367
94,传销的意思啊,000366
95,文科生的绝望,000355
96,1,000367
97,注入灵魂,000359
98,好家伙(●°u°●)​ 」,000357
99,头发长了 显脸胖,000353
100,截图,000354
101,帮我兄弟 看看,000357
102,你好懂呀,000357
103,电池想骂人,000355
104,听过,000360
105, 错 误 辨 析,000355
106,这是没给我一丝机会啊,000369
107,这一批老一辈喝酒的人喝不了了。年轻人成为主流，白酒必然下跌,000369
108,不如说，设计这个制服的某某，居心叵测,000366
109,up主像王小波哈哈,000366
110,我这个肥坨都没脂肪肝,000353
111,他怎么了,000364
112,宇宙震荡嘛？,000360
113,时间不是第四维,000360
114,HDL与脂肪和固醇代谢有关,000353
115,你讲卖点了吗,000354
116,五维空间也存在，六维也是,000360
117,宿舍？？,000357
118,22222可口可乐好喝,000358
119,这是灵魂,000359
120,无穷级数,000365
121,不忘初心,000371
122,不拖泥带水·讲得好！,000354
123,以前专四这个大题要15分吧 我可以拿14 最喜欢的一大题 我做听写一年 听力水平真的暴涨,000362
124,凡尔赛,000367
125,真实,000367
126,氯化钠是电解质但食盐中的其他物质可能就不是电解质,000355
127,我们班上有一个上课睡觉回去的王者的……数学贼好！就很气人！！,000367
128,确实，晚上个人也没这么浮躁,000353
129,链接呢？,000372
130,传统艺能,000359
131,无路赛,000368
132,不好意思我全款,000366
133,后来银行倒闭！只给你50万！,000363
134,全部卖出？,000354
135,3d打印,000360
136,好家伙在这里学化学,000355
137,耐久Ⅴ附魔书,000357
138,我卡了？,000354
139,我先问双打视频在哪？,000357
140,弹幕给我整乐了,000360
141,3,000358
142,举报有人偷题（doge）,000367
143,3.14-3.95,000365
144,宁波QAQ,000369
145,哇塞，今天好高产啊，佩服,000363
