,弹幕,vid
0,以工代赈,000496
1,有味道了,000527
2,不是一个长音一个短音么。。。,000523
3,tmd碰见茬子了,000530
4,哈哈哈怕了,000491
5,哈哈哈哈哈哈哈哈,000522
6,下次也不一定,000514
7,注意安全,000502
8,凌迟,000511
9,666,000486
10,02:45,000486
11,牛逼,000502
12,燃起来了！,000520
13,好家伙，学到了,000522
14,青岛跌了,000521
15,好像罚了几千亿吧？,000490
16,不愧是我,000514
17,目前我的房贷是1.5,000521
18,哈哈哈,000529
19,2,000520
20,好家伙,000522
21,类似于以工代赈，兴修民生工程，恢复就业吗,000496
22,何同学排面,000514
23,有内味了,000502
24,花小烙现在很博学啦,000501
25,被策反了呗，信念不坚定,000511
26,靠边停车，三不踩,000507
27,脚臭味,000522
28,支持一下！,000521
29,我悟了,000496
30,期待,000518
31,哈哈哈哈哈哈哈,000487
32,老公￼,000529
33,爱让我们在此相遇,000508
34,大一狂喜,000524
35,考公考研的呢怎么办╯﹏╰,000489
36,？,000528
37,小时候腿被叮一下直接流血,000510
38,我悟了,000496
39,人才,000513
40,我有一个朋友,000515
41,小巫见大巫是吧,000530
42,还尼玛坐飞机比高铁便宜，脑子有炮？,000520
43,怀旧风,000520
44,养不起,000505
45,意思就是富人都能上天堂，穷人只能下地狱。,000521
46,谨言,000513
47,哈哈,000492
48,？？？,000530
49,白嫖失败,000486
50,我就常深水，顶着狼狂喊预言家出来，是神职两轮后直接跳,000531
51,？？？？？？？？？？？？？？,000491
52,要被收购了,000517
53,哈哈哈哈哈哈哈哈,000516
54,期待期待,000518
55,9,000486
56,生活,000498
57,学位证警告,000489
58,倒了更好，早点面对现实,000521
59,影响大了收购的价钱就高了,000517
60,个人房贷是银行优质资产，占比太低银行也不乐意,000521
61,钢斗被抓啦,000510
62,肝帝强者，恐怖如斯,000486
63,.0,000512
64,辛苦了,000527
65,欧洲很多国家干活速度慢，但维持时间长,000498
66,@老番茄,000531
67,学会了,000496
68,辛苦辛苦,000527
69,说明没看过例句,000529
70,6666,000516
71,某幻量子力学大师发paper啦,000531
72,单线信息传递,000501
73,MC,000514
74,蔗糖,000512
75,中下方是不是有個白色的动物在树上啊,000512
76,8   00斤闹着玩一样,000513
77,太厉害了！,000496
78,技术宅拯救世界,000486
79,检验科卑微,000527
80,致敬,000533
81,雅思有啊,000529
82,要不起,000505
83,小心魔法部,000530
84,我是霸天虎，我在芝加哥之战没死，打钱吧,000490
85,幸苦了，每个医生都值得尊敬,000527
86,ikun,000518
87,还差一些,000491
88,哈哈哈哈哈哈,000527
89,同一度衡量,000522
90,我更容易赢,000531
91,银枪刺喉基本是个人就能做到,000528
92,致敬！,000533
93,这个我从来不信 转不进去才有鬼了,000528
94,太合理了,000497
95,哈哈哈哈哈哈哈,000491
96,确定在排队的时间掏出菜刀 ？,000529
97,天牛不咬人吗,000510
98,芜湖,000505
99,看了眼他手上拿的牌,000530
100,有女生吗？,000515
101,明白了,000489
102,期待,000518
103,2,000520
104,221,000486
105,c,000496
106,666,000491
107,那他吗是监理,000498
108,哈哈哈哈哈,000501
109,使数学老师漂浮在空中,000494
110,的确,000512
111,哈哈哈哈哈哈,000487
112,希望能早点恢复,000504
113,辅助科室说啥了我,000527
114,没有竞争就会腐败,000490
115,虫子好聪明,000512
116,这个是穆式拟态，互相模拟躲避天敌用的,000510
117,感谢,000505
118,周蔚文呢？期待,000518
119,上学思修课逃课了吗？,000511
120,淦！,000512
121,我为什么要帮助头痛（不是）,000497
122,期待,000518
123,太真实了,000531
124,白帽子是监理吧，工作就是看啊。。。,000498
125,私信up主领取妹妹的丝袜（bushi,000508
126,光速吟唱,000497
127,凡尔赛的情况,000499
128,卧槽,000503
129,噫哈哈哈哈,000487
130,up太牛了,000496
131,想多了,000505
132,不生想多了,000505
133,想问。。。你的头发还好么？,000498
