,弹幕,vid
0,22,000316
1,都是问题  一个都不能忽略,000297
2,这毒啊,000307
3,球不是有无数个？,000318
4,啥叫爱吃？是没得吃,000320
5,hhhhh,000309
6,So the question is ,000318
7,一桌，一椅，一扇，一抚尺,000319
8,同款U盘,000290
9,这为什么会让人感到痛苦？这些巧合应该会让人感到认知的快乐呀。,000298
10,懂了 这就不给罗老师投币,000291
11,hhhhhhh,000322
12,致敬,000302
13,哈哈哈,000291
14,2.9w,000291
15,吾辈楷模,000304
16,1,000289
17,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,000314
18,就这？,000290
19,息屏看乌龟同族,000318
20,致敬,000302
21,来了,000294
22,专升本成功,000289
23,……,000292
24,我也有过这想法,000290
25,牛肉丸,000318
26,四面体吗？,000318
27,哈,000296
28,做了我想做而又不敢做的事，hhhh,000290
29,怕了怕了怕了,000322
30,做的好精细啊,000314
31,好耶,000297
32,看着是真难受,000301
33,小姐姐还是小老弟,000322
34,是度（读）数不是毒素啦,000299
35,爽原来还分高级和低级,000317
36,2,000316
37,意思就是中国不是独有的，血肠很多国家都有包括韩国,000298
38,怕怕怕怕怕怕怕怕怕怕,000322
39,??_????,000304
40,这可不可爱,000309
41,于谦家琥珀里面扣出来的,000309
42,我觉得这是很美好的一件事啊，我们和外国人的隔阂不像我们曾经认为的那么大,000298
43,必须三连,000320
44,不致癌怎么拍电视剧,000320
45,2,000316
46,我会先选1 然后去劳动部门举报,000316
47,感谢up！！！,000316
48,把交流电拉直就行了（doge）,000312
49,3333,000305
50,专业,000314
51,太强了！！！！,000298
52,这不投币说不过去啊。这次一定了,000298
53,已三连，求教程,000308
54,怕了,000322
55,2,000294
56,巴西龟,000318
57,王家卫？？,000319
58,杭州电子科技大学,000289
59,致敬,000302
60,咦～,000307
61,1,000289
62,1,000316
63,求推荐,000308
64,2倍数功能失效日,000316
65,你跟警察说,000300
66,尊重,000320
67,不是，你们这个脑子到底是怎么完成六年义务教育，考上大学的,000307
68,懂了，不学外语了,000298
69,2,000294
70,钱就是问题，有钱天天在家带孩子不用考虑别的,000297
71,？,000317
72,ohhhhhhhhhhhh,000290
73,白夜行女主角,000304
74,2,000294
75,3,000305
76,监控拆懂？,000289
77,解放军信息工程大学,000289
78,宿迁大学哈哈哈哈哈哈哈哈哈,000307
79,哈哈哈哈哈哈,000291
80,来秀的吧！,000309
81,材料300，工时费200,000314
82,没干过,000290
83,人发情也找仿真的抖手,000307
84,难受,000301
85,U盘,000290
86,鲶鱼难得认真一次,000301
87,猝不及防,000305
88,？,000318
89,哼哼，啊啊啊啊啊啊啊,000314
90,直接降工资让你主动辞职,000316
91,致敬,000302
92,1,000294
93,打气管子啊,000314
94,满足,000304
95,相安无事,000290
96,老师好,000291
97,怕了怕了,000322
98,还没工作就等退休了,000316
99,吗的我不是hr面试的直接就是部门主管,000293
100,哈哈哈哈哈哈哈,000298
101,别骂了,000305
102,没做绝缘？,000299
103,砖石骗局，本来砖石不值钱,000301
104,suv轮胎也就打3个压，这玩意竟然要6个,000314
105,1234,000317
106,？,000289
107,怕了,000322
108,饺子,000318
109,哈哈哈哈哈哈哈哈哈哈哈哈,000299
110,南朝鲜太磕碜了吃泡菜下饭哈哈哈,000320
111,0,000294
112,1234,000317
113,桥碧落,000304
114,我靠，白镜，少，太少,000321
115,球是随遇平衡点,000318
116,领导不累，打字机挺累的,000291
117,还不是要走,000297
118,外企呢,000291
119,好绝,000304
120,这不是野草莓吗,000307
121,←这个人有病。,000319
122,白嫖失败,000298
123,我的工作都没交过,000288
124,给U盘充电,000290
125,想到莆田,000307
126,333,000305
127,同志，好,000322
128,已经开始痛了,000314
129,德云社好看吗？不还是尬演,000296
130,禅境花园bgm,000312
131,1,000316
132,1,000294
133,致敬,000302
134,果然,000291
135,爽=学习,000317
136,致敬,000302
137,扛把子,000318
138,你放任你放，我生算我输,000297
139,致敬,000302
140,草滩啊的hm,000320
141,讲故事环节开始,000292
142,咬它,000307
143,"在被外来事物刷新认知之前 人性普遍的默认状态就是你们所谓的""优越感""",000298
144,B站太怂了,000322
145,陆生龟的壳,000318
146,抖音直呼内行,000296
147,贴哥弟瓷舱惨生敢硬电牛,000299
148,去夸克！,000319
149,12,000316
150,做梦也很快乐，梦的剧情很有意思的,000317
151,诺兰粉狂喜,000296
152,。。。。。。。。。,000305
153,这我也写不出来,000319
154,干得漂亮！,000320
155,妙啊,000297
156,？？？？？？？？？？？？？？？？？？,000304
157,一建,000289
158,致敬,000302
159,疫情原因,000288
160,在现场，我们只找到这么一段录像,000290
161,贴哥弟瓷场产身敢硬电牛,000299
162,峰哥亡命天涯？？？？？,000298
163,钢炮,000318
164,苟富贵，勿相忘,000322
165,好家伙,000304
166,111,000294
167,这个土方法我想破脑汁都想不出来,000319
168,玉龙？,000292
169,这老头也是没b数，都八十了，马上入土了，图你啥真不知道？,000304
170,谁跟你同仁 滚,000322
171,1,000294
172,亚稳态,000318
173,总有一款适合你,000291
174,声音都发抖,000292
175,好家伙,000292
176,东北的啊,000298
177,致敬,000302
178,弹幕不对劲！,000317
179,哈哈哈哈哈哈哈哈哈哈哈嗝,000296
180,总有一款适合你,000291
181,貌似是钛合金的,000314
182,我买我买还不行吗,000305
183,2,000316
184,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,000296
185,求教程,000308
186,没产业啊,000297
187,时间管理者,000304
188,好丝滑,000314
189,？？？？？？,000304
190,升本成功,000289
191,数学鬼才,000291
192,123,000305
193,把公屏打在你的认知是什么？,000322
194,123,000317
195,永动机,000318
196,圆锥型不倒翁躺下来有无数个稳定点,000318
197,半佛老师？？,000296
198,EXACTLY!,000298
199,专升本考到理想学校！！,000289
200,哈哈哈哈哈,000309
