,弹幕,vid
0,笔试通过吧。,000281
1,哈哈哈哈哈哈哈哈哈哈,000244
2,烦死了，这音全给吞完了,000239
3,关于丧葬的窘态，开心麻花相声小品大赛一等奖《落叶归根》演绎得淋漓尽致,000244
4,穿西装的男老师教过我申论,000240
5,这是东北发音,000251
6,高危？呵呵，那工地工人算什么，有你们挣得多？,000268
7,大清早亡了,000275
8,麦当劳肯德基的快餐店就是用这个的。,000261
9,哈哈哈哈哈哈哈是不推荐宇哥的意思嘛,000252
10,真实,000265
11,我是三鹿奶粉,000272
12,chang,000244
13,我的知识盲区了,000254
14,2,000257
15,好家伙，还是个摸金校尉,000242
16,强推墨墨真的,000252
17,我为什么会刷到这？？？,000256
18,高消费低收入,000241
19,见棺发财,000274
20,我选中文,000243
21,哈哈哈哈哈哈,000244
22,站着焊的,000237
23,粤语不是语言？？？笑了,000245
24,牛啊,000243
25,懒得相亲了,000286
26,升官,000274
27,结对婚 ！ 现在人要求这么好了吗  真看的起自己,000286
28,这么顺滑的吗,000272
29,好，知道以后没钱就这样捡漏了,000253
30,太草了,000272
31,宝友这ei可不兴戴啊,000273
32,王嘉尔！！！,000265
33,2,000258
34,好生气啊,000259
35,妹子吃传奇长大的？刀刀暴击,000244
36,哈哈哈哈哈哈哈哈哈哈哈哈,000257
37,提前画好图，像素化 然后拼就行了，堆工作量,000287
38,〇,000277
39,完全一致ohhhhh,000272
40,田地荒废挤城里,000258
41,帮朋友看,000250
42,CaO,000271
43,三连了，主题升华,000257
44,？？？,000256
45,(￣(●●)￣),000258
46,111,000258
47,可笑,000249
48,是真的狗,000281
49,喜欢的人和我不是一个次元怎么办,000265
50,儿这么蠢 一辈子都白活了,000244
51,见棺发财,000274
52,这大舌头真想把它剁掉,000246
53,牛牛牛！,000287
54,@求职救星瑞秋姐姐：如何写出高大上的简历，我怕我能说俩小时 吧吧吧吧吧吧 想看的同学楼下集合,000280
55,存在即合理 ，没用也是存在 也合理,000261
56,比我当时的考官话多多了，那种不说话的才让人紧张,000240
57,会,000286
58,1,000257
59,见棺发财,000274
60,哈哈哈哈哈哈,000275
61,横位，脐带绕颈,000248
62,是你吗dio,000248
63,感觉快死了,000257
64,1.9 不囤担心,000258
65,哈哈哈哈哈哈哈哈,000278
66,我有钱就能炒股，我有钱去不了华为,000276
67,这个...不作死不会死,000244
68,23？！！,000259
69,还能这些发音规律俺都学过,000239
70,？？？你在讲什么啊,000263
71,正道的光,000268
72,？？？,000286
73,wtf,000254
74,恶心,000279
75,见棺发财,000274
76,哈哈哈哈哈,000251
77,如果真的想创造一个轻松环境，可以让主考官在，其他人在屏幕背后，这是故意让人紧张，以便,000240
78,妈妈,000252
79,哈哈哈哈哈,000273
80,这地毯是xjr吧,000273
81,男人想成家真的不容易,000241
82,耕地都盖房了，种地的都到城里打工了。,000258
83,草,000271
84,2,000281
85,殡葬业就是很黑，吃准你不好意思为私人还价，还背一个不孝之名！！！,000244
86,草,000256
87,∞,000277
88,111111,000286
89,比星巴克还贵,000262
90,凶宅？解剖室我都睡过,000253
91,虽然很对 但挺好2333,000286
92,要要,000252
93,哈哈,000273
94,1,000286
95,2,000258
96,無,000277
97,富婆狂喜,000260
98,哼，哼，啊啊，啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,000277
99,11111,000281
100,财大nb,000287
101,我们公司997，这是正常的现象,000249
102,二阶导,000277
103,？,000244
104,好了睡觉了,000265
105,11111111,000281
106,大师了！,000259
107,。。。。。。。你还是闭麦吧,000263
108,哟，这不昌黎刑部尚书嘛,000260
109,因为精苏，学俄文，结果差点学自闭了,000243
110,粤语是语言，广东话才是方言好不好,000245
111,先开0.5后1.0，再后1.75 不用谢,000256
112,猫咪叫声,000268
113,不会,000286
114,哈哈哈哈哈哈哈哈哈哈哈哈哈,000245
115,网管吧,000257
116,医生写的主要是拉丁文，不算汉字。,000277
117,抄袭,000267
118,薛定谔的die,000244
119,牛牛牛！,000287
120,1,000281
121,2017-7-5,000238
122,溥仪,000265
123,这人是来搞笑的？,000286
124,是女同志,000241
125,要是不漂亮呢,000263
126,说白了，打酱油的真多！尤其是那个,000249
127,这个厉害了,000237
128,过于优秀,000244
129,大多数都单休吧,000249
130,粉笔,000281
131,财大NB,000287
132,美多零,000252
133,对！,000267
134,力速双A,000244
135,有道理,000244
136,高危？,000268
137,卧龙寺，寂耐庵,000272
138,特么看个科普也有人打拳，你们是吃饱了太闲吗哪哪都来一泡,000277
139,草,000271
140,抬杠？？？,000253
141,这不比博人转热血？,000256
142,2,000281
143,扯淡吧，菜和肉能和粮食相提并论？,000258
144,660武钟祥老师说基础刷,000252
145,心痛鹿人,000272
146,好久不用xl都快把这个忘了,000285
147,马斯克,000251
148,从没吃过这个拉面,000262
149,好家伙,000281
150,《升次思想》,000254
151,我也是一位炼狱小镇的CT,000257
152,。。。。28年的那个，对不起我母胎单身29年，比你多一年,000286
153,公务员工资真有这么高吗？,000281
154,不会,000286
155,世界的参差,000272
156,我觉得长难句没必要买书 把田静的语法视频看完后 每天跟何凯文的每日一句就行,000252
157,2,000265
158,我一直都觉得阿婆主很好看啊。You are so handsome. ，do you know？,000245
159,不是回头客，是一个地方一般就一家,000244
160,真的香,000286
161,卧槽,000256
162,对！,000243
