,弹幕,vid
0,这么好,000399
1,谢谢老师,000398
2,真的强，白酒跌惨,000393
3,大哥跟你走，一直关注你的更,000393
4,法治之光,000398
5,邮储是什么？,000393
6,监控,000394
7,前方高能预警,000396
8,保护,000393
9,所以以后买3001的手机,000398
10,哈哈哈 为了粉丝操碎了心,000393
11,2,000395
12,。。,000397
13,哈哈哈哈哈哈哈哈哈,000398
14,没有 属于出租车公司的,000398
15,哇！终于解开了疑惑,000398
16,都红了,000396
17,厉害,000399
18,SeS2,000394
19,柯西不等式。。。,000395
20,阿！？,000394
21,摸鱼合理,000399
22,床授？床授？,000398
23,低买高卖,000393
24,这个速度认真的吗,000396
25,《遗 物》,000398
26,好家伙！我们老师讲过这个,000395
27,辛苦了,000393
28,虎狼之言,000393
29,监控,000394
30,哥 看了一路你的飘逸的长发,000393
31,大家都有我就放心了,000394
32,字正腔圆,000399
33,啊这。。。。,000396
34,2,000395
35,人 体 描 边 大 师,000396
36,说的对,000399
37,说得对，怪不得现在上班不得劲呢,000399
38,最小正实数可真是有点秀,000395
39,《比 较 简 单》,000395
40,漂亮,000395
41,叫我如何不想他,000399
42,2,000395
43,没毛病,000399
44,2,000395
45,我奶说，现在找不到五六十年代的那样勤劳的人了,000399
46,张三永不迟到,000398
47,这是多么妩媚的up主啊,000393
48,等我消化1小时再看。，。‘’,000396
49,下血本,000398
50,爱你,000393
51,简单,000395
52,我头上没有，别的地儿有,000394
53,我下面就长,000394
54,监控,000394
55,懂了这就去网约车秀恩爱（？）,000398
56,同 化 完 成,000398
57,我没了,000396
58,女朋友的过分了,000398
59,C,000395
60,B,000395
61,有道理,000398
62,主要被秀发吸引，我也打算留长发看看,000393
63,？？？？？？,000395
64,突然宫寒,000396
65,中间主义,000398
66,老师说数学很简单，就像1+1=2那简单，我陷入了沉默,000395
67,我手机299（doge）,000398
68,哭了,000399
69,临控,000394
70,老师好,000398
71,我选择生酮,000396
72,老师好,000398
73,一点辣都吃不了，不抽烟喝酒熬夜的我依旧被毛囊炎困扰,000394
74,就不能来着正常的？,000396
75,我选择运动,000396
76,告辞,000395
77,不够劲，我还要看,000394
78,哈哈哈,000399
79,以前长在肚子上。,000394
80,龙哥很踏实,000393
81,阔怕，,000396
82,泪目,000399
83,说得好,000399
84,空降02：46,000396
85,男的女的？,000393
86,这样的自主招生才是对的,000395
87,再也不吃了,000396
