,弹幕,vid
0,超大号的生日蛋糕叉？?？?？?,000359
1,这这,000355
2,是我,000367
3,卧槽500到1000,000357
4,专业名词太多,000354
5,谢谢谢谢你！,000358
6,我看到了猫走过去！！！！！,000359
7,无脑买白酒涨了17%,000354
8,梦醒了,000363
9,但凡上过高中,000355
10,正道的光,000361
11,这个只是模拟的，还是一个三维的啊，都懂完了,000360
12,哈哈哈哈,000357
13,2222223,000358
14,要是我有这么多钱，我还听你傻逼逼,000363
15,枣蟹是个什么蟹？,000357
16,Why are you so short?,000364
17,没有光的地方就没有时间,000360
18,沙发？,000364
19,行了我敏感肌。。。。哭,000358
20,哈哈哈,000363
21,我听说过克莱因壶,000360
22,用12边形是不是更好,000365
23,而且体检一直在活动心率高点应该还好,000353
24,ばか,000368
25,莫名同步了,000367
26,传 销,000366
27,人言否？,000370
28,使徒来袭,000359
29,买个基金而已，jiu当比定期要高收益的理财！,000354
30,如果觉得这个难的话可以从听英文歌开始的！,000362
31,没有诺安？,000370
32,不要再骂了 ,000368
33,我来晚了,000357
34,あっちへ行きなさいよ,000368
35,按照之前的说法，最高维度是11维度，但是按照之后的就不一定了。,000360
36,?,000355
37,1,000358
38,我也有,000353
39,你再骂！！,000370
40,消费多可以退税不？,000369
41,奇变偶不变，符号看象限,000357
42,其实颈椎好人腰间盘久坐更伤身,000353
43,把中文去掉。,000368
44,台湾不是,000369
45,理性,000354
46,应该醒醒了,000363
47,广东人的我表示发不了R音,000364
48,有一本小说写二维平面生物世界的 挺有意思的,000360
49,星际穿越,000360
50,淡定淡定说嗨了这,000354
51,真实,000362
52,炸膛,000357
53,卷,000366
54,标题选的好,000357
55,文盲,000360
56,三年太久了,000354
57,那如果吧克莱因瓶丢进一个装满水的水箱是不是就装满了(狗头保命),000360
58,看看就行，真是高手早就财富自由了,000354
59,注入灵魂,000359
60,这个东西高点比较好,000353
61,希望你不要不识好歹,000359
62,哥德巴赫猜想可以么,000357
63,俺也一样,000353
64,要来力,000371
65,1,000367
66,有,000354
67,哈哈哈哈哈哈,000354
68,"弹幕不用挡着字幕好不好,,Ծ^Ծ,,",000358
69,这是港式吧hhhhhhhh,000364
70,晕车了,000367
71,2,000358
72,darling,000368
73,是手写板的声音吧,000365
74,1吃透错题本2晚上复盘（考试，练习）3非学习时间的利用4定量输入（固定学习量）5回扣课本6与出题人对话7重复练习,000367
75,注入灵魂,000359
76,人家香港用英式,000364
77,房价的本质是教育,000369
78,妈见打系列,000359
79,这个弹幕怎么回事,000367
80,黑洞就是四维空间,000360
81,哼,000353
82,好听啊,000370
83,哼,000353
84,我觉得其实纬度只是人类意识中产生的。,000360
85,怎么证明,000365
86,学习不是你需要学会多少，而是你不断探索,000367
87,】,000353
88,听相声，看小品,000357
89,毕业一年50斤,000353
90,2,000358
91,割圆术,000365
92,我有一年急性肝炎，这个指标就超了很多！,000353
