,弹幕,vid
0,嫌啰嗦的不会拉进度条吗？,000052
1,只能刺一点点，不能刺多了,000030
2,别考本了，吓人,000054
3,2222222,000051
4,知らなかった,000029
5,致命剧毒：心灵鸡汤！,000034
6,文化人？,000045
7,我先来 太理想了,000055
8,等于0,000032
9,太理想了,000055
10,呆5年不回申请政治避难，啧啧啧，心机婊,000045
11,惨,000030
12,她在侮辱脑子?,000045
13,我随缘,000051
14,初二，会了，期末有这题，比这复杂,000032
15,不觉得啰嗦呀,000041
16,继续保持,000052
17,津巴布韦知乎内行…,000052
18,你们管这玩意叫可爱？？？？？,000036
19,我们这不关没事,000054
20,所以所剩无几了,000030
21,@双面针,000044
22,豪哥,000035
23,对！！！,000046
24,左弯就得拐大弯,000049
25,温柔加油啊，也不知道能帮忙做些什么,000037
26,要饭区一哥,000033
27,想扇她嘴巴,000045
28,封面雷击,000030
29,看到这个视频就像看到了光,000052
30,该发钱的时候一毛不拔，还想让生二胎？,000052
31,回形针,000044
32,又不是考试，练呗,000054
33,珠海,000047
34,亚卡马西！,000029
35,抄书的作业怎么办,000051
36,百   鸟   朝   凤   图,000063
37,都死了等于都没死,000052
38,你们这些老油条，赶紧去生，多生几个，替不生的人多生几个。,000052
39,2,000051
40,老师好,000038
41,他父母还认她吗？,000045
42,考是考 练是练 开是开,000054
43,卧槽，找到它时吓死我了,000036
44,虽然她很可恶，但我觉得这句话是你编的,000062
45,我从第三行就看不懂了 我还有望过教资吗,000032
46,卑微的老舔狗了,000060
47,爱情就是这样,000038
48,怎么没注意到有没有学校公交站点,000049
49,我不给你们发钱等于我给你们发了一个亿,000052
50,我的教练已经开始骂了,000054
51,充电了，up加油！,000037
52,2,000051
53,然后就去世了,000062
54,让我见到，我他么骨灰都给你扬了,000045
55,如若今后没有炬火，你便是唯一的光,000037
56,？？？,000047
57,小李：有被冒犯到。。。,000033
58,卧槽把运城人我炸出来了,000047
59,必须入刑,000043
60,真全是干货,000052
61,后排力元君,000054
62,对,000052
63,昆明人表示不接受这个败类,000045
64,他本来就不懂,000052
65,山东凤翔，知道了,000057
66,鸭子nb,000046
67,+++++++++++++++,000049
68,欢迎收看走近科学,000040
69,二档起步是真强,000054
70,这碗里还有纹路啊,000059
71,小丑竟是她自己,000062
72,哈哈哈哈哈哈哈哈,000060
73,哈哈，高端人才！,000042
74,2,000051
75,明显的白马黑马论,000052
76,太坏了,000053
77,妙啊,000047
78,冯建梅引产了解一下,000052
79,喜闻乐见,000052
80,我卷不过别人,000035
81,来了,000038
82,哎,000037
83,你拿到绿卡，美国人也不喜欢你，,000045
84,不用看了，错的,000032
85,1,000051
86,办他,000060
87,哈哈哈哈哈,000054
88,那个是不是在72小时内可以吃阻断药啊,000053
89,ばかでいらっしゃ,000029
90,辣椒酱啥意思？,000063
91,这个小姐姐我可以,000049
92,2,000051
93,前面说高中的，这是初中数学……,000032
94,2,000051
95,？？？？,000059
96,直接泡完吃了,000033
97,Lsp,000047
98,古代太监放那玩意儿的,000039
99,差个条件m!=n,000032
100,给后面的人提醒：别被所谓的角速度带偏，根本不是同一个问题,000056
101,不想理你,000060
102,加肉,000036
103,我那叫谷牛,000036
104,不至于？牛B啊，前面那位，一次能喝2斤50度的白酒…,000034
105,现在的我↓,000035
106,好耶,000052
107,保护好自己啊,000037
108,不接受募捐就尽力给温柔充电吧，献出一份薄力,000037
109,?,000042
110,都好好看，心动了,000045
111,看吃素和胖瘦内有关系,000030
112,保护,000037
113,蔡浩,000038
114,好吓人,000030
115,福岛事件的时候商场的盐从来都是一个价格,000044
116,《太理想了》,000055
117,然后互相卡住的两个鹿结婚生子了,000030
118,？,000045
119,哈哈哈，小丑竟是我自己，阿哈哈哈,000038
120,？？？？,000063
121,建议女生千万别找男生,000046
122,木鱼永远滴神！！！！！,000055
123,韦达定理，干,000032
124,秘 偶 大 师,000063
125,督工狂喜,000055
126,老婆,000034
127,每个地方  都不一样,000049
128,加油！！,000037
129,岳云鹏,000063
130,一,000034
131,卧槽，我是运城的,000047
132,购买湖建人,000047
133,哈哈哈,000054
134,2,000051
135,加油,000037
136,挺好的！咩哈哈哈,000053
137,室内0度，北方室内有暖气就别说了,000036
138,头上长把手……,000030
139,我一看到这个就会想起公知回形针,000044
140,好家伙，老子这就去整一斤,000034
141,这时候还嫌什么贵嘛，命重要钱重要,000053
142,还回归平静 进去喝茶好了,000052
143,凯多,000036
144,哈哈哈哈哈哈哈哈哈哈哈,000048
145,谢谢，记住了,000034
146,rap ?,000046
147,哈哈哈哈哈,000042
148,同校！,000031
149,哈哈哈哈，售后,000059
150,傻狍子,000030
151,牛壁,000056
152,求视频,000053
153,美国欢迎有技术有能力的人移民，没本事的，只能走政治庇护,000045
154,哈哈哈哈,000060
155,你的箭毒蛙是怎么算出来的？,000034
156,求bgm,000043
157,补肾没感觉，利尿倒是挺直观的,000033
158,桑葚,000036
159,开的蛮好的,000049
160,阻断药有时限,000053
161,怎么又是他哈哈哈哈,000049
162,白嫖算不算犯罪,000038
163,刚从扣1420分学员那里过来哈哈哈又是这个教练,000054
164,up主说话好带情绪啊,000062
165,自己的“理解”,000033
166,亚里士多德多捞噢！,000056
167,哈哈哈,000060
168,至今思念红太阳,000052
169,拆弹专家2,000047
170,2,000051
171,脑浆都给你摇匀了,000054
172,还真有相信这是散户和人民的胜利？？？脑子,000058
173,淦,000046
174,卧槽能放这么大,000036
175,没考过吧？刚刚那不踩刹车扣分,000049
176,太真实了,000051
177,两成白银在你手，八成白银在碉楼,000052
178,食物链啊,000030
179,弹射起步！！！,000054
180,肉我真吃不起,000045
181,说有用和没用的，撇开剂量说作用就是耍流氓,000033
182,我觉得很多人都是心里反对任何打拳，但是天天到各个app上去打击他们谁有那个功夫啊,000046
183,装糊涂的高手,000063
184,大秦赋直呼内行,000033
185,一样达到国际饮用标准，大城市的水全世界都一样,000048
186,把湖南的脸面子也全给丢了,000037
187,可以选择性别，双胞胎,000043
188,？？？,000047
189,入刑法,000043
190,好,000046
191,是，白嫖方案,000041
192,试过一次,000047
193,别瞎说冬天撒路上的是工业用盐，不能吃,000044
194,给一个乞丐和一个千万富翁各一千元,000052
195,泡芙老师那个，真的好像,000054
196,广告时间,000040
197,好家伙,000048
198,被引诱者受到的伤害很大的,000038
199,盐铁论,000044
200,233333,000060
201,热乎,000053
202,哈哈哈哈,000030
203,逐渐离谱,000034
204,不光问候它 还问候它全家啊,000045
205,工地老头,000059
206,贴心！,000051
207,..,000054
208,哇哦，这瓜真猛,000058
209,汗的,000039
210,真的就伤口伤撒盐呗,000044
211,吃饱了撑的,000052
212,矿化度太高,000048
213,截胡,000060
214,又长知识了,000043
215,美国末日,000042
216,黑市,000047
217,wc,000036
218,妹妹违法吗,000063
219,快哭了,000036
220,牛啊,000032
221,高杏欣！,000062
222,最佳编剧,000060
223,这是犯法的,000053
224,瘟疫公司BGM,000047
225,还没死啊,000045
226,冒充国家公职人员怎么判？,000037
227,2,000051
228,蔗糖是把人齁死的吗？,000034
229,如何才能做到公平呢？,000046
230,可以,000035
231,320,000054
232,啊！！！！,000050
233,这,000050
234,加油,000037
235,哈哈哈哈哈,000060
236,？？？,000032
237,2,000051
238,哈哈哈哈哈，父慈子孝,000033
239,2,000051
240,冠姓权不重要，那跟妈妈姓吧?不行!这就是现状,000046
241,社会需要你这样的人,000037
242,2,000051
243,那没事,000047
244,。。。。。,000032
245,售后服务平台,000059
246,辣椒3.3克就会死的你百分百辣椒素的辣椒哪里买的,000034
247,清华风评被害,000062
248,说的我想嫁给你,000046
249,要是第一次的话赶紧去打阻断啊,000053
250,那可都是蛋白质啊,000036
251,我杀了我自己,000030
252,我当年科目三就是两档起步,000054
253,好,000055
254,金融可以把一个国家给搞崩溃。参考。苏联。,000058
255,你在骂,000035
256,握草昆明之耻,000045
257,只能刺一点点，不能刺多利,000030
258,我想起哪个顶着断头的图,000030
259,聪明的流浪汉,000042
260,太6,000042
261,微跌，微跌,000052
262,@罗翔,000037
263,牛逼,000046
264,哈哈哈,000045
265,乔碧萝,000038
266,加油,000037
267,还好我的经历正常，小学喜欢和朋友上山下水，初中迷上游戏，高中拼命努力，现在大二自己存了点钱准备合伙做小生意,000053
268,大师我悟了,000038
269,军码破译难度是非常极大的，毕竟藏起来了,000062
270,赞同，感谢up主分享,000035
271,啊啊啊啊啊啊啊啊哪里可以领到这么好的鸭子！,000046
272,很难不支持哈哈哈哈,000055
273,？？滚,000062
274,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,000063
275,不是怕虫，是怕它身上的细菌,000036
276,一个字：出溜了,000056
277,这个我买过！！！,000040
278,才2000？,000047
279,必需品，其他人卖也得买,000040
280,加油,000037
281,2,000051
282,确实吃不起肉,000045
283,2,000051
284,2,000051
285,2021年更难,000030
286,小姐姐好看,000049
287,人类算不算多管闲事,000030
288,好爽,000031
289,没了?,000053
290,甜      死,000034
291,已经开始听不懂了,000032
292,有建设性,000055
293,好家伙,000039
294,哈哈哈哈哈哈哈,000054
295,比一开始还多,000051
296,唉，其实我觉得，女权就是有选择权利。无论是思想还是物质。,000046
297,狄仁杰的案子,000044
298,我居然还在看,000060
299,这猥琐的笑容……我…………,000062
300,国库充盈是真的,000044
301,沃日,000047
302,乔碧萝殿下,000038
303,快进到拔网线,000058
304,1,000051
305,一  人 做  事 万  人 当(,000045
306,的确,000038
307,浙江这可以越级降档,000049
308,这一步看不懂哎,000032
309,谢谢老师,000038
310,然而可以吃截断的,000053
311,根本不需要这个，用个家庭投影不更爽吗？,000060
312,笑尿,000045
313,日本jiud是,000052
314,还有十宗罪,000055
315,编导生狂喜,000055
316,懂了,000032
317,教练哪个驾校的，我要去报名！,000054
318,跳过剂量谈毒性都是耍流氓,000034
319,2222,000051
320,2,000051
321,二叉角,000030
322,那是角吗，我以为那是牙,000030
323,国家也在钓鱼啊,000047
324,？？？？？？？？,000063
325,我想过，但我觉得自己的姓不太好听Ծ‸Ծ,000046
