,弹幕,vid
0,哈哈哈哈哈哈哈哈哈哈哈,000481
1,严查,000485
2,卧槽已经开始疼了,000482
3,为啥我感觉那么像绿魔呢？,000479
4,国家电网什么时候低调过,000477
5,我不够纯真,000483
6,混凝土浇筑,000482
7,熟悉的口音！,000481
8,琵琶语,000482
9,我的心依旧是冰冰的,000478
10,全中  我要没了,000471
11,人间真实,000483
12,铁翼飞旋？,000478
13,不行我看着胃难受，医生真伟大,000475
14,有点像张静初,000478
15,顶起来,000485
16,黑怕,000479
17,中国就是“好”啊,000485
18,疯狂吸分,000473
19,呱,000484
20,这就完了？,000485
21,严查！！！！！,000485
22,先mark,000484
23,这不是黑势力是啥？,000485
24,我替徐亦宸学一下,000481
25,舒服了,000482
26,呱,000484
27,第一个，不自信的点进来,000471
28,他爸是李刚,000485
29,没有劲,000478
30,报道,000484
31,哈哈哈哈,000476
32,还贵 电费贵就不要用电,000477
33,帮朱朱婷看一下,000481
34,老人，地铁，手机,000475
35,不好，会破产,000479
36,牛逼,000477
37,根管才痛,000482
38,就是你！！！,000472
39,这个妹妹乖,000478
40,熟悉的感觉,000482
41,一脸猥琐样，真的，,000479
42,梦回童年,000472
43,我要纳妾,000478
44,完了完了,000471
45,啪 没了,000471
46,哈哈哈,000479
47,余华,000479
48,克总够了哈哈哈哈,000476
49,蓝精灵快跑，格格巫来了,000479
50,出师表：亲爱的老师，我可以进去吗,000482
51,知乎,000484
52,baodao报道,000484
53,这个绿的贼苦,000482
54,原来是你啊，走路上给我吓一跳,000472
55,为什么我做的很疼,000482
56,我们老师叫邵学斌,000485
57,顶起来,000485
58,时劫者乌尔,000478
59,买过这期！！！,000476
60,水能喝,000485
61,我有这些都是女朋友给的。所以女朋友怎是好东西,000471
62,我是造了什么孽让我吃饭时刷到这个,000481
63,报到,000484
64,我帮李金玉看一下,000481
65,卧槽,000475
66,直升机不平稳 不是设计有问题 就是某个零部件坏了,000478
67,黑恶势力！严查！,000485
68,好可爱呜呜呜呜,000472
69,喜欢,000478
70,德国东西质量真的不错,000479
71,卧槽,000475
72,打的人和告密直接 毙 了肯定好使,000485
73,我帮申嘉杰看一下,000481
74,精致的德国工艺+100,000479
75,性病,000470
76,宇宙超人，睁开眼睛，我是沙福林……,000476
77,好的，晓莹我不抢，冰冰归我了。,000478
78,那不惩罚？？,000485
79,别人啥表情关你屁事是非要在这里bb一句，不想看出去,000479
80,呱,000484
81,妙啊！！！！,000479
82,我帮杨书林看一下,000481
83,［环  保  局］,000485
84,哈哈哈,000476
85,送命题,000479
86,好家伙一俄德混血,000476
87,看着疼 ,000482
88,啊啊啊啊啊啊啊啊开始疼了,000482
89,哈哈哈,000477
90,我补完又坏了,000482
91,我有无敌风火轮,000478
92,最害怕凿牙啊,000482
93,想起猎杀对决里的水鬼,000476
94,想笑还不敢出声，知道这是啥感受吗,000481
95,呱,000484
96,哈哈哈哈哈哈哈哈哈哈哈哈,000476
97,哇哦,000479
98,激光枪,000472
99,呱,000484
100,老师说话像沈腾,000480
101,是你啊,000472
102,有个朋友，,000471
103,这样的事可不是一起亮起了吧！,000485
104,声音大是因为现场直升机等装备发声太大为了确保观众能听到讲话,000478
105,这是直9？,000478
106,当个牙医也是挺厉害的了！毕竟人对修牙的反应应该都是一致的吧！,000482
107,个人观点，不是设计问题，是成本问题。,000479
108,啊啊啊啊啊啊,000472
109,之前去的时候血溅医生口罩上,000482
110,刚刚看完,000477
111,不黑一下国家怎能引起注意呢,000485
112,你吼辣么大森干什么嘛,000478
113,她还是那么喜欢穿这件衣服,000478
114,对这种企业罚款到破产，你看以后谁还敢这样搞？,000485
115,讲设计可以听，设计确实可以解决很多问题,000479
116,到报,000484
117,很像张静初啊,000478
118,我们这有个人体检不过，院长是考公务员不容易，给他过了吧，真事,000470
119,正在蹲的我打开了。,000481
120,呱,000484
121,所以，怎么摸鱼呢,000483
122,今日头条,000484
123,浑身无力,000471
124,我他妈打了麻药打了3次疼得我都快晕了,000482
125,谢谢，已经开始痛了,000482
126,我帮卢科荣看看,000481
127,想想为什么点进来,000471
128,不只是环保局，现在哪个部门好？,000485
129,新老婆,000478
130,何冰老师，是你吗,000480
131,哈哈哈哈 电脑特效,000476
132,估计是侧面龋齿,000482
133,绿魔吗,000479
134,报道,000484
135,记者开始打官腔了，好不好这几个字真令人作呕,000485
136,这种雑种纪委不查基本没戏,000485
137,但是，耐用不就代表销量下降吗,000479
138,费腰,000479
139,好好看,000478
140,这不是我想要的资源,000484
141,我有一个朋友托我帮他看看,000484
142,"|||{""channel"":""jz_60""}",000481
143,涂上洁厕灵,000482
144,听起来还是挺公平公开的,000470
145,不满大家，我喜欢铁翼飞旋,000478
146,已经开始疼了,000482
147,不疼个鬼，刺到牙髓 眼泪都出来了,000482
148,顶,000485
149,卧槽,000485
150,不 是看你有没有毒,000470
