,弹幕,vid
0,吃肉,000119
1,初三化学,000122
2,官方吐槽，最为致命,000105
3,没得p2,000099
4,看《博雷家书》之前再复习一遍这个视频,000117
5,mbl,000111
6,wdnmd，周围人都听见了,000107
7,草,000109
8,抢滩登陆,000124
9,池鱼,000099
10,说真的，我要是美国人，会很喜欢他。,000105
11,好痛,000107
12,真不错,000118
13,↑多少钱一条？↑,000119
14,经典啊,000100
15,袜，吸吸吸,000112
16,卧槽卧槽,000114
17,好家伙，反客为主,000100
18,红领巾*10,000105
19,云天明,000115
20,？？,000117
21,这个我会,000122
22,。。。,000108
23,半泽直树嘿嘿,000099
24,哈哈哈哈哈哈哈哈哈,000100
25,哦那我没病,000115
26,不信谣不传谣,000108
27,厉害厉害,000100
28,面对疾风吧,000122
29,鉴宝还带炫车的,000114
30,不知这么多年过去 百山祖冷杉是否已经灭绝,000106
31,薇诺娜,000116
32,心率图！,000119
33,呀也,000107
34,hhhhhhh,000123
35,帮朋友看的！,000109
36,吃什么螺吃出来的,000112
37,致敬,000113
38,阿巴阿巴阿巴阿巴,000122
39,是不是玩不起,000117
40,这有什么问题吗,000117
41,一分钱我哭死了，你差一百万我倒是不怕,000110
42,爱着爱着,000101
43,致敬！,000113
44,只送大脑,000115
45,官方整活,000105
46,这是女的?,000098
47,最毒不过妇人心,000121
48,字正腔圆,000107
49,梦幻联动，双厨狂喜！,000123
50,你确定不是口音问题,000106
51,？？？？,000117
52,15157,000120
53,不要因为错误讨厌一本优秀的书 不要因为优秀的书洗白一个人的错误,000117
54,突然可爱,000106
55,致敬,000113
56,工具虫....,000119
57,半导体也是骗补的一大堆,000100
58,明白了,000111
59,没了,000120
60,广东人：《冷》,000119
61,不用解释了，肯定是中国人吃肉太多导致的,000119
62,看孩子多紧张,000118
63,捞完钱，盘子暴雷，关我屁事。我直接拿钱跑路，实在不行移居国外美滋滋,000099
64,怎么没用，这东西小时候就有，煮一下就能反复用了,000122
65,默哀,000100
66,猴子偷桃,000118
67,所以这视频一个给温儒敏看看,000117
68,这不就是五级三阶制,000099
69,↓云天明↓,000115
70,致敬,000113
71,华南地区：？？？,000119
72,保护,000099
73,2,000099
74,记住，世上不存在完全利他行为,000115
75,逆 子,000116
76,这就是地球恢复出厂设置了,000119
77,《忏悔录》,000117
78,秒啊,000100
79,默哀,000100
80,半亩花田！！,000116
81,还缺媳妇吗,000104
82,已举报不谢,000107
83,眼睛！我的眼睛！,000114
84,业内人士，利益相关，匿了匿了,000099
85,哦哦,000122
