,弹幕,vid
0,哈哈哈哈哈哈,000064
1,工人阶级的力量,000064
2,就是挺不可思议的,000064
3,说不了解的，去看看艾教授怎么说的,000064
4,  哈 哈 哈,000064
5,苏联：请打开麦克风交流,000064
6,哇哦,000064
7,苏联呢？,000064
8,错没有一个修成功是吧,000064
9,纸  醉  金  迷,000064
10,是啊，谁能想到呢,000064
11,万恶之源,000064
12,奥 斯 卡 最 佳 男 演 员,000064
13,我又卡了,000064
14,原 始 积 累,000064
15,哈哈哈哈,000064
16,////,000064
17,HERO！！！！！,000064
18,不知道杠什么的那个，建议学学 马列毛,000064
19,纠  歪  来,000064
20,普通的重新定义,000064
21,活   力,000064
22,但实际上是工农的力量,000064
23,好活,000064
24,苏联是联盟,000064
25,这讲和没讲一样,000064
26,不是这些爱国科学家，这些普通工人，能有今天？,000064
27,人工智能：我TM谢谢你,000064
28,苏联,000064
