,弹幕,vid
0,是冰冰的自己心里知道就好了，还打出来真的没有礼貌,000478
1,弹幕素质？？？？,000479
2,你喝一口,000485
3,U C,000484
4,建议套女皮,000483
5,彻查严惩！完善举报机制！决不能让人民寒了心！,000485
6,向井蓝,000478
7,国之重器,000477
8,鸮！,000472
9,。。。,000476
10,可以可以，这设计可以,000479
11,哈哈哈哈  我也感觉像格格巫,000479
12,报道,000484
13,呱,000484
14,《托   尔   斯   泰 》,000476
15,报到,000484
16,完了我朋友没救了,000471
17,破音,000478
18,我帮弯弯看一下,000481
19,能不能不用下巴戳我,000479
20,噪鹃,000472
21,有虫,000482
22,好看的小姐姐,000470
23,排的什么水化验一下不就知道了,000485
24,弹幕已经让我看不到任何网站了,000484
25,呱呱,000484
26,我很喜欢这种客观的事实。,000479
27,点赞国电,000477
28,这个好,000479
29,报到,000484
30,你的老板进入本直播间,000483
31,黑鱼好吃（bushi,000476
32,氯水氢山,000485
33,仪表盘都打码？？？,000478
34,哈哈哈哈哈哈哈,000476
35,不用胶布，挺好的,000479
36,天哪！！！,000475
37,莹莹,000478
38,我的泪水从嘴巴里流出来,000482
39,赛点糖在里面怎么样,000482
40,春秋蝉那个哈哈哈哈哈哈哈哈,000476
41,哇,000479
42,大部分是农民工的没脑子吧，不要技术专业吗？,000477
43,开始疼了,000482
44,其实不疼，但是很酸,000482
45,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,000479
46,你全中招了,000471
47,哈哈哈哈哈哈哈,000476
48,有种东西叫麻醉针,000482
49,大家帮忙给冰冰带个话，我回不去了,000478
50,我帮肥肥看一下,000481
51,呱呱呱,000484
52,国家电网手里的专利比华为点多得多,000477
53,承认吧，都是颜狗,000478
54,真的，寒心,000485
55,这大脑怎么控制,000475
56,DNA动了,000472
57,新老婆,000478
58,我帮齐文净看一下,000481
59,鱼：夺笋啊,000476
60,这个聪明,000479
61,帮朋友看,000471
62,原来是你,000472
63,草，是竹叶虫，我被骗了,000476
64,哈哈哈哈哈哈哈哈哈哈哈,000472
65,烧香果贡~烧香果贡~烧香果贡~,000472
66,黑社会啊。不是打黑还有这样的？,000485
67,《抖音的各位专家学者》,000476
68,就在,000484
69,姑锥,000472
70,你不够纯真,000483
71,老婆,000478
72,宇宙超人，睁开眼睛，我是沙福林,000476
73,好家伙原来是你,000472
74,唉,000485
75,我替yzy来看看,000481
76,帮朋友看看,000471
77,一定要站在直升机旁直播吗？,000478
78,66666666,000479
79,呜呜呜，我补了两颗牙，现在看这个 都感觉到痛了,000482
80,我走了，看不下去了，太疼了  啊啊啊,000482
81,溜了溜了 没我事,000471
82,哈哈，傻老外,000479
83,《氢山氯水》,000485
84,“跟着党走”,000485
85,报道,000484
86,来帮周洁看看,000481
87,老婆老婆,000478
88,真实难受,000483
89,一直认为这是夜枭,000472
90,啊这,000475
91,太狂了,000485
92,免费不,000470
93,好像Faker,000483
94,账号正确，密码错误,000479
95,你不是人！！！,000476
96,蛀牙的是会疼的，但是补牙之后去做是不疼的，我上次去我就好奇怎么没给我打麻醉我也怕,000482
97,嘎嘎嘎,000484
98,淑娥,000482
99,太拼了,000478
100,我帮王艺琪看一下,000481
101,帮我朋友看看,000471
102,完了完了,000471
103,哈哈,000476
104,可能说的就是你,000471
105,说话结巴心里有鬼,000485
106,我的牙。还好不疼就补上了,000482
107,真不错,000479
108,真的有很多这种，这手术的好处不是一般的大，你甚至可以和正常人一样跑步,000475
109,原来是你,000472
110,还是好几个国家的国家电网,000477
111,我替我朋友。。。哦这个可以自己看哈,000481
112,报道,000484
113,我们不搬家，纸箱不是拿来卖的吗,000479
114,央视纪录片放过，我还看了,000476
115,烟草呢,000477
116,跟你们讲话笑话：法制社会,000485
117,庄颜是你吗,000478
118,完了,000471
119,《中》,000485
120,你们有毛病吧直升机旁边声音当然很大人家不吼你怎么听得清这是新闻,000478
121,呱,000484
122,不会疼的扎麻药了的,000482
123,我还以为是有个饵什么的吸引鱼的,000476
124,为啥总搬家,000479
125,哈哈哈哈哈笑死我了这弹幕,000484
126,他们给的太多了,000485
127,心脏骤停,000476
128,……我也看成了,000476
129,必须严惩,000485
130,妈耶,000480
131,这个可以有,000484
132,呱,000484
133,哈哈哈哈哈哈哈哈,000476
134,呱 ,000484
135,环保局内鬼,000485
136,吸！,000473
137,打错了，嗓子对不起,000478
138,嗬，都是二炮的发射场....,000476
139,对对对！！！,000483
140,报道,000484
141,定,000485
142,没牙仔！！！,000476
143,已经开始疼了,000482
144,表达不满批评建议都可以阴阳怪气就算了,000485
145,呱,000484
146,真的有人说话会这样啊！,000479
147,我买了,000476
148,可怕的是没钻之前感觉这牙没问题,000482
149,若是刚炼成的春秋蝉有效，来生还是要,000476
150,说话表情好像要吃人,000479
