,弹幕,vid
0,哈哈哈，老师你好可爱,000022
1,好家伙，还带闪现,000028
2,马化腾也是垄断 所以他也快了,000024
3,可能本来想说挖坟，顿了一下改口,000026
4,我爱你，中国,000027
5,多少钱,000028
6,结了再离婚就好了，想那么多,000021
7,你说那些骂刘翔的有什么资格?,000027
8,创意无限,000028
9,shuo,000023
10,《捡》,000026
11,向所有对中国有贡献的人致敬！！！,000027
12,盲猜500,000022
13,oh no  oh  no  oh  no  no  no,000028
14,经历过 说的很现实很有用,000021
15,捡,000026
16,不要太看得起自己,000024
17,行！！,000027
18,哭了T﹏T,000027
19,因为我对这片土地爱得深沉,000027
20,郭冬临既视感,000023
21,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,000023
22,《捡》,000026
23,这是在做钢铁侠战甲？,000028
24,根本没有弹幕，你预判了别人的预判？,000021
25,不会，说的很真实,000021
26,射瞎一只眼是真的假的,000025
27,过来人告诉你们 up说的很对,000021
28,压水井？,000028
29,为什么我的眼中常含泪水，因为我对这土地爱的深沉,000027
30,512地震,000027
31,捡300斤,000026
32,年纪大点或者不那么漂亮的女生fane,000021
33,好的,000022
34,现在乖了嘛,000024
35,谢谢你们,000027
36,美丽的宇宙太空/以它的神秘和绚丽/召唤我们踏过平庸/进入到无垠的广袤  ——南仁东,000027
37,等等，我的天灵盖掉了,000028
38,行！！,000027
39,啥？中国教材上学的英语还有英美的区别？？？不是什么好读就用哪个吗？,000023
40,钢铁侠mark1,000028
41,这水平都能评商业,000024
42,因为我对这土地爱得深沉,000027
43,小黄人,000028
44,麻花疼也不是什么好鸟,000024
45,因为我对这片土地爱的深沉,000027
46,致敬,000027
47,焊焊牢固些啊,000028
48,都是宝贝,000028
49,好可爱,000022
50,防人之心不可无 ,000021
51,不会不会  想听大实话,000021
52,啊哈哈哈哈,000025
53,行,000027
54,因为他的母语是,000023
55,二氧化碳保护焊,000028
56,小黄人,000028
57,是的呢没错！,000027
58,我大概猜到是什么了,000028
59,哦吼，用铁做鞋子。,000028
60,小黄人,000028
61,很真实介绍时骗人说有多好,000021
62,看那绳就假的不行,000026
63,《斤》,000026
64,哈哈哈,000028
65,英式尤其我们课本上学的表达基本都更传统正式一点,000023
66,马云动了金融,000024
67,戴文？,000028
68,小黄人,000028
69,泪目,000027
