,弹幕,vid
0,投币入户,000078
1,支   持,000079
2,她,000079
3,哈哈哈哈,000071
4,这你不用担心,000077
5,我就这样,000077
6,你在相亲吗,000082
7,技巧,000077
8,哈哈哈哈,000080
9,不一定，大天专业配下水狗,000074
10,无中生友,000075
11,午夜凶铃？,000076
12,已经三连了,000073
13,23333,000080
14,笑死我了,000074
15,哈哈哈哈哈哈哈哈哈哈哈哈哈哈,000074
16,好家伙，难度太大了,000078
17,贯穿我的身体,000079
18,我可以帮所有漂亮女性滋补,000077
19,进度条好评,000078
20,等有了我就升天了,000075
21,说的袋鼠吧,000074
22,我特么尿尿,000076
23,8万,000080
24,我帮我朋友看看,000075
25,哈哈哈哈哈哈,000080
26,投个币，支持一下,000078
27,？,000075
28,好吃吗～,000074
29,过年分-153亿,000071
30,致敬,000073
31,你会被告,000078
32,胸和我一样高,000079
33,我为什么交币？因为我是人民,000073
34,致敬,000073
35,好家伙,000075
36,走进科学,000074
37,断财路了xd,000078
38,白嫖,000073
39,指桑骂愧,000077
40,我就想知道能吃吗 好吃吗,000074
41,白嫖成功，并踩一下,000073
42,我要来Ｂ大读个研究生,000078
43,现在公务员查户口一样的亲属关系表，怎么办？,000082
44,早晚会出事,000081
45,热乎,000071
46,放心了,000075
47,每天三次？,000075
48,我艹牛逼,000071
49,新年快乐,000078
50,乐此不疲,000077
51,2倍速可以,000077
52,怪不得我在马桶拉shi总是溅一pg……算了,000076
53,哈哈哈哈哈哈,000074
54,保护,000078
55,加油,000078
56,帮朋友看看,000077
57,完蛋,000075
58,哈哈哈哈哈哈哈,000074
59,我看5秒就退出，坚决白嫖,000073
60,帮室友看一看,000075
61,亚门钢太郎,000079
62,哈哈哈哈哈哈,000080
63,看完评论区再赞,000078
64,我啪的一下就进来了,000077
65,牛,000078
66,我不知道 啊吧啊吧,000082
67,致敬,000073
68,哈哈哈哈哈哈哈,000074
69,也就3秒哪来的这么多技巧,000077
70,一个亿,000080
71,哈哈哈哈哈,000080
72,极 限 冲 刺,000079
73,我见到的警察都不是什么好人,000073
74,帮孟灿看看,000075
75,这不得举报一波,000078
76,50包邮解君忧,000072
77,警校生已投币,000073
78,卧槽？？太劲爆了,000077
79,罗老师不要这样,000071
80,帮我室友看看,000075
81,致敬,000073
82,搜噶~,000077
83,  不  诚  实  ,000075
84,致敬,000073
85,画重点：不能吃，甭惦记,000074
86,5W,000080
87,哈哈哈哈哈哈哈哈哈哈哈哈哈哈,000074
88,。。。。。。,000077
89,帮陈思欢看下,000075
90,降低的,000077
91,两百万,000080
92,“不打死”,000080
93,哈哈哈哈哈哈哈哈哈,000074
94,已经说了无版权问题,000078
95,张大帅直呼内行,000079
96,我替李睿骁来看看,000077
97,噢，谢特,000075
98,那没事了,000074
99,弹幕礼仪,000075
100,十块钱,000080
101,真的啊,000078
