,弹幕,vid
0,啊啊啊啊啊,000050
1,高考语文杨洋，昼夜诗文，,000055
2,不谈剂量谈毒性都是耍流氓,000034
3,清华风评受损,000062
4,驾校车不扣分 没事的,000049
5,确定不是你口味变重了？,000044
6,一生之敌,000060
7,现代陶也差不多这价格,000039
8,哈哈,000041
9,节约用水啊！,000048
10,加油,000037
11,出去养了条狗,000045
12,我觉得我就是铁fw,000035
13,唉,000046
14,王勃直呼内行,000033
15,太聪明了,000056
16,估计新冠已经战胜她了,000062
17,那我就是点赞,000061
18,我杀死我自己,000030
19,谁是剧毒的,000034
20,是清华学姐,000062
21,？？？？谁家的水没达到标准？,000048
22,千万不要真的拿食用盐去敷伤口会有副作用的,000044
23,无所谓！,000043
24,小圆除了转还有滑,000056
25,哈哈哈哈,000031
26,不要发钱，应该直接配给生活物资,000052
27,李狗嗨?,000063
28,卧槽,000036
29,这女的就是个狗贼,000045
30,整点阳间BGM,000040
31,劣币驱逐“良币”,000047
32,投币了,000061
33,盐城,000044
34,这叫平时练的好？教练脾气太好了,000049
35,22222222,000051
36,半数致死量而已 ,000034
37,这特么能喝？,000048
38,白眼狼，母的,000045
39,所以中医就不太好学，再加上因为考学的制度，所以说进中医院的孩子大多其实没有西院的学苗好,000033
40,刚做完手术，看到这个晕的不行,000050
41,我们在中国，我相信着的,000037
42,市中心的房子绝对不能药,000042
43,还考过了科二？,000054
44,三四万,000039
45,工地夏天一天喝的水不止6000毫升,000034
46,哈哈哈哈,000060
47,解法很多,000032
48,前面的马来西亚没这么严重啊,000048
49,妙啊，活该,000062
50,精气神,000033
51,老师好,000038
52,困扰我十多年,000050
53,开心，大家一起完蛋,000052
54,能冲,000036
55,老子的95呢，拿出来，给她头上按颗痣,000062
56,就这也别考试了，二档四档也分不清,000049
57,谢谢科普谢谢科普,000036
58,的确破解了 不过只是夸大了 破解的只是民码。。。。。,000062
59,滕州口音？,000054
60,后面跟车的要吓死,000054
61,哥哥能不插嘴吗,000033
62,喵啊,000056
63,我会每天做作业,000051
64,你和你爸一个姓 就能证明是你爸吗,000041
65,100岁退休最为合理,000052
66,靠啊好痛好痛好痛,000050
67,哈哈,000061
68,我40+了，还不是看完了,000032
69,洋葱头,000047
70,看不到希望，生不起,000052
71,这环境分明是，暴力街区贫民窟,000042
72,乌龟能自己翻过来,000030
73,弹射起步,000054
74,小米杂货铺,000040
75,三连了,000046
76,哈哈做过胃镜活检的我。。。,000050
77,？？？,000063
78,晓姐姐真的太好看了！！！！！,000060
79,龟背类似于冈布茨体,000030
80,拿美国举例干嘛你看中国啊,000035
81,岳云鹏，你不说相声了？,000063
82,那我可能是有点毛病,000063
83,也不是错我没见过飞机,000045
84,努力就有用，那不都成首富了？,000035
85,2,000051
86,木鱼水心真的吹爆!,000055
87,考试不能说话的,000049
88,这？？？？,000056
89,哇,000036
90,我记得用头就能顶过来,000030
91,没可能的，加氯气还饮用标准呢,000048
92,和古振兴同等,000062
93,游过泳的都死了,000034
94,不会,000036
95,tui,000045
96,贱不贱啊，这种心理怎么不死啊,000053
97,彭佩奥你怎么在这,000030
98,这泡面里的枸杞直接致死量啊,000033
99,喷敌敌畏,000036
100,老美血亏，那是民用级别的。军用级别的不用担心。,000062
101,卧槽,000048
102,执法钓鱼,000047
103,营   销     号？,000040
104,加油,000037
105,哈哈。。朋友普遍肾虚,000033
106,美国空气确实香甜，毕竟有自由的味道（doge）,000045
107,教练你别说了，她根本没心思听你说话，哈哈哈,000049
108,我只想快点知道这个煞笔的结果,000045
109,这个广告对我们观众有什么用？,000060
110,发了，失业补助金,000052
111,.不撸帝,000043
112,口你急哇南不吉哇精神小伙,000029
113,杜主任，杜特尔特,000060
114,我的天，柳江水质真的是清澈见底，长年全国排名第一,000048
115,？？？,000054
116,哈哈,000057
117,？我现在正一边刷视频一边赶作业,000051
118,可怕,000036
119,？,000036
120,哪里自己分开的，明明把鹿角打断了,000030
121,吃饭给你加菜还不好,000036
122,万恶的慕洋犬,000045
123,大娟子？？？,000054
124,哈哈哈哈猝不及防,000031
125,-345,000054
126,帮朋友看看,000038
127,？？,000050
128,好耶,000052
129,《没 建 设 性》,000055
130,山东叫油子,000036
131,@灵魂筹码大王哥,000037
132,2,000051
133,蛋白质,000036
134,他居然滑着走？？？,000056
135,塑料热水壶？,000048
136,小罐茶,000040
137,2,000051
138,只有干到死，不存在退休了,000052
139,那天我生日,000047
140,都吃饭等于没吃饭,000052
141,加油,000037
142,666,000058
143,不打女拳打什么 男拳吗？,000046
144,我家那小子 XHQ,000043
145,私,000029
146,回形针呢？,000044
147,吓我一跳,000047
148,还有一个重要原因，大家喜欢生肖属猪和属牛，不喜欢属鼠,000052
149,这话像放屁世界通用的是美元他们能向世界吸血,000052
150,驾照这个东西，多凶的训训就好了我教练就是不过我还挺感谢他的，他不训我我是不会刻意去记,000049
151,我还是笑了,000030
152,珍珠奶茶,000036
153,@罗翔,000037
154,2,000051
155,噩梦,000032
156,腰斩我看行,000052
157,老师好,000038
158,我也不爱吃。。。。可能是红萝卜不容易炒入味吧,000033
159,小丑竟是她自己,000062
160,哈哈哈哈,000060
161,保护,000037
162,我还有,000047
163,丑人多作怪,000045
164,刚接触可以打阻断,000053
165,前方小哥逃过一劫,000054
166,？？？。？,000060
167,人家发钱，我们给人家打工,000052
168,好家伙进门就脱,000060
169,快去医院打阻断,000053
170,得得得得得得得得,000033
171,鸭子牛逼！,000046
172,哈哈哈哈哈哈,000059
173,这是一个好想一键三连的视频,000037
174,正解！,000056
175,卡住两个都死,000030
176,竭尽全力,000037
177,又是你小子,000060
178,11,000032
179,我朋友叫我来看看,000033
180,宁为玉碎不为瓦全,000052
181,快跑,000060
182,应该去机场讲,000040
183,需要红色,000037
184,2,000051
185,笑死我了哈哈哈哈哈哈哈哈哈哈哈,000054
186,乌龟我看见是脑袋顶住地转,000030
187,会玩,000044
188,手术后打生理盐水的也1mm,000050
189,艾滋病可以阻断治疗,000053
190,15年驾龄能挂 你是在吹什么牛逼,000049
191,阿尔伯塔，熟悉的地方,000031
192,加油加油，我们也在关注这件事，陪着你们,000037
193,此后如竟没有炬火：我便是唯一的光！,000037
194,我腚痛,000050
195,清华类似的学生好像有点多,000062
196,兄弟们直接举报这种视频,000035
197,肝帝竟然还单身~~~,000060
198,大师 我悟了,000046
199,舒服了,000062
200,位移一样，路程不一样。,000056
201,瘟疫,000047
202,再见,000032
203,。。。,000036
204,曾剃头,000035
205,太长了吧,000060
206,建议字幕改一下颜色，看不清,000038
207,笑死,000062
208,叠杀人书呢,000054
209,这叫相信魔法,000042
210,如若今后没有炬火，你便是唯一的光,000037
211,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,000054
212,直接@回形针Paperclip,000044
213,攥紧拳头,000038
214,2222,000051
215,直接解出来那个可真是个鬼才,000032
216,四川人天天吃泡菜怎么没事,000034
217,暗示三连,000058
218,HCl和HClO,000048
219,广义上的马尔萨斯陷阱永远存在，只要人类还生活在地球上,000052
220,我觉得要是我那暴躁教练可以骂到天上去了,000049
221,不如你们直接做一套江苏吧,000032
222,哈哈哈哈哈哈,000033
223,大德鲁伊,000030
224,父慈，子孝,000033
225,毒液：我干了，你们随意！,000034
226,是真间谍吧,000045
227,大师我又悟了,000038
228,煮一煮就挥发了,000048
229,《你动了》,000054
230,丝滑,000060
231,海岛棉呢,000040
