,弹幕,vid
0,而且会害怕你抢走他们的位子,000305
1,致敬！,000302
2,？？？,000289
3,老爸用的就是这种，真希望别用上,000314
4,过期了,000314
5,表头，在5 3里可以改装成任意电流表和电压表,000299
6,鲶鱼老师这么温柔我都不习惯了,000301
7,笑死了,000322
8,1,000317
9,111,000316
10,哈哈哈哈哈哈哈,000319
11,辛苦啦，,000313
12,怕了怕了怕了怕了怕了怕了怕了怕了,000322
13,致敬,000302
14,夸克现场教学,000319
15,浪费,000314
16,怕,000322
17,一人一块钱 领导蹲十年,000291
18,剑三er缓缓浮出水面,000304
19,4,000317
20,1,000317
21,蛋糕劵,000291
22,致敬,000302
23,不白不富也不美啊,000304
24,不好意思，东北教育不是问题,000297
25,阿里欠我钱,000295
26,正常人，可能一辈子都看不到拆这玩意儿，用到的人，都可能没见过,000314
27,没币了,000294
28,懂了，这就白嫖，否则算行贿,000291
29,说的我好爽,000296
30,球是不稳定平衡点？,000318
31,1234,000317
32,笑,000322
33,下一步，上交还是判刑，哈哈哈,000300
34,02:57,000290
35,有点难,000319
36,哈哈哈哈哈哈哈哈哈,000298
37,出现了 绿波电龙,000312
38,我觉得是贾冰带的风气,000296
39,1,000294
40,因为这个视频关注了up,000298
41,致敬,000302
42,白嫖白嫖,000291
43,泡菜大半都是中国进口的,000320
44,6,000320
45,自报家门,000300
46,已经不得行了，导师要论文，我还没写，完犊子了,000317
47,《不为人知》,000320
48,致敬,000302
49,冈布奥,000318
50,好家伙这个逻辑速度跟不上了,000305
51,因为我们这里是温带季风气候，夏天下雨，，而且大多都是农民只能挣得起蔬菜,000320
52,猝 不 及 防,000319
53,哈哈哈哈哈哈哈哈,000296
54,你不是一个人,000322
55,哈哈哈哈哈哈,000296
56,张三终于升职了,000291
57,pal,000322
58,植物大战僵尸,000312
59,滚吧,000295
60,草是我不配我连这个都写不出,000319
61,我是汉室皇族我骄傲了吗,000302
62,哈哈哈哈哈啊哈哈哈,000296
63,咱多大地方  人多大地方...,000320
64,3天 72小时 一周7天 平均每天10小时 恩!每周3天,000295
65,会上b站,000290
66,你想过没有，好些理性思维强的人因为英语被刷下来,000298
67,妙啊,000319
68,致敬,000302
69,会上b站,000290
70,没有共情能力所以很有魅力是啥意思？两者间竟然有因果关系？！,000304
71,一瓶酒 一包烟  一个女人 一个房间,000319
