,弹幕,vid
0,求中学生的课程,000078
1,致敬！！！,000073
2,我帮李思源来看看,000075
3,哈哈,000074
4,哔大报到,000078
5,贺银成永远的神,000078
6,我室友一天一次,000075
7,疏油层,000076
8,一本正经地说着让人露出一言难尽表情的话,000077
9,说真的好多的教材版权有问题的，不会一锅端了吧,000078
10,你们在等什么,000079
11,我一个朋友让我替他看看,000075
12,woc,000079
13,我有一个朋友,000075
14,下次一定,000079
15,0.31,000079
16,对，,000080
17,良心up,000075
18,八万,000080
19,尿这么久,000079
20,收藏再说,000077
21,伟大的想法,000078
22,帮朋友看,000077
23,有女生看吗,000075
24,水猴子,000074
25,一周一次,000075
26,一块牌子丢出去砸死一个人得赔30万吧，四个人120万,000080
27,江东小儿安敢啼哭,000074
28,先关注为敬,000078
29,厉害，支持,000078
30,我帮我朋友马杰看看,000075
31,才一次？,000075
32,买个原石几千上万搞笑吗,000080
33,瞎说！我就替朋友看看的。,000075
34,哪吒,000079
35,直接一个字：滚,000082
36,关你屁事！,000082
37,加油,000078
38,也有可能是心大,000075
39,好吃吗？,000074
40,僵尸脚趾,000074
41,大家快跑！藏狐要打人了！！,000074
42,腾讯的宿敌！,000074
43,昏迷那个脑补出穿越剧情,000079
44,牙膏,000076
45,墨子哥可还行,000079
46,慕课好像都有,000078
47,终于知道大庆赶海放生的卵长得怎么样了,000074
48,无中生友,000075
49,所以狼是一只有知识的狼,000076
50,小隆德四王。。,000074
51,懂了，涨知识了,000074
52,要创造人类幸福,000074
53,放屁！！！,000075
54,吃掉只是为了...,000077
55,可能是不好意思说吧,000075
56,水龙头坏了,000079
57,哈哈哈哈哈,000074
58,老师过来人哈哈哈（奸笑）,000077
59,魔友科普君来啦 菲神记录已被打破！,000079
60,拔万,000080
61,杰哥,000082
62,好家伙我钱包没了,000073
63,哈哈哈哈哈哈哈哈,000074
64,新年快乐,000078
65,酸了,000075
66,是滴是滴，b站就有泰国博主,000074
67,关你屁事,000082
68,xdd？？？,000074
69,太少了,000075
70,计划很棒，加油,000078
71,所以都是假的,000074
72,没交,000073
73,拔万！,000080
74,真实,000082
75,我帮我朋友马亮看看,000075
76,up是猪队友还是敌人派来的卧底？,000078
77,职业类的也可以吧，像一建，二建，网络工程师之类的,000078
78,你。。奥利给,000078
79,xswl,000079
80,"系统化,伟大",000078
81,你就说好不好吃吧,000074
82,版权,000078
83,100个中国人过去,000074
84,哈哈哈哈哈哈哈哈,000080
85,哈哈哈,000074
86,无中生友,000075
87,帮柳兴羽看下,000075
88,怎么下载呢？,000078
89,抓？,000074
90,有点像小叮当,000074
91,二十不能再多了,000080
92,三千多个家庭啊,000073
93,当场吃肾宝片,000075
94,哈哈哈哈,000074
95,帮朋友看,000075
96,吓人啊,000074
97,nb,000073
98,哈哈哈哈,000077
99,哈哈哈哈哈哈哈,000080
100,我只有2个币了 能白嫖吗,000073
101,没有男朋友怎么办,000077
