,弹幕,vid
0,你,000181
1,这个语速已经够慢了,000197
2,致敬,000184
3,哇,000183
4,对的,000183
5,看见一个小宇宙,000178
6,这是滞学网吗,000190
7,考虑过别人上厕所没？,000192
8,更高级,000183
9,好,000196
10,这个是我,000186
11,法学生再次风评被害……,000177
12,草,000195
13,孝死了,000211
14,没人说这老师像贤宝宝吗,000212
15,致敬,000177
16,哈哈哈哈哈哈哈哈哈,000211
17,美元快变成废纸了,000210
18,↑隐身不过关还算什么五代机？,000173
19,建议结尾那里可以稍微停顿一下下，结尾那里刚准备暂停跟读一下，发现就结束了 ,000197
20,太像了,000186
21,哈哈哈哈哈哈,000193
22,罪魁祸首不敢说,000196
23,关注我，带你读英语,000181
24,恶心,000193
25,两个逆子,000211
26,智学网,000190
27,我就是经常【鹅】耶,000186
28,我们的菜了不应该低价卖 农民多辛苦,000206
29,不给钱就砸！！,000203
30,知子莫若父,000206
31,真像个笑话,000196
32,哈哈哈哈哈哈哈哈哈,000198
33,qiuziming,000177
34,老师是清华大学经管学院的副教授,000210
35,2,000200
36,好看的,000178
37,虾仁猪心,000206
38,闭眼新世界,000186
39,致敬,000184
40,致敬,000177
41,一切归于平静,000178
42,升值不一定是好事儿啊,000210
43,以后人手够了你就凉了,000201
44,这时候你需要去看看海贼王了,000186
45,标题深得我心,000190
46,卧槽，96,000182
47,嗯，同样,000177
48,柚子好美！,000211
49,我就直说了，你们不行（,000183
50,馋了，有链接吗,000206
51,这不是鹅暖石嘛,000179
52,rtx off！,000178
53,微观宇宙,000178
54,始祖鸟,000201
55,房价是世界上最好的避孕套,000196
56,你会变黄,000203
57,这个衣服超级好看,000211
58,呼和浩特的,000189
59,不值得 00后恐婚恐婚更严重了,000187
60,尾田骗了我好多年啊,000186
61,致敬,000177
62,只怪日本军国主义,000184
63,依劳动法,000175
64,好,000196
65,感谢山东,000206
66,中国又长了，还不让说，哈哈哈,000189
67,农民没你这样浪费粮食的,000174
68,人间疾苦八宝粥,000200
69,太假了,000188
70,哈哈哈哈哈哈,000206
71,不能把这小子抓起来?这也太猖狂了,000212
72,爱自己,000199
73,前方高能 请做好准备 ,000178
74,小偷,000211
75,漂亮！,000211
76,美国陆军给美国海军和空军提鞋吗？陆军到现在除了部分特战队，起的作用仅仅能占领维持秩序了,000173
77,爱自己,000199
78,就这？,000206
79,只能听懂posters,000197
80,所以有了键盘侠…,000173
81,我喜欢我的国家，我爱这里山川草木爱这里人们，来生还做中国人,000177
82,他还不配当狗，狗看到了都要吞噬他,000177
83,两个逆子,000211
84,哈哈哈哈老师好,000210
85,咬,000205
86,护眼护眼,000177
87,至今。。。,000184
88,哈哈哈哈哈,000193
89,干货,000202
90,牛,000206
91,致敬,000184
92,哈哈哈哈哈哈,000191
93,天天量刑,000212
94,它不配！,000177
95,呋呋呋呋呋呋呋,000186
96,社会压力太大了，人民压力小了。都有存款！,000196
97,会碎的,000209
98,我哥的老师就是她,000180
99,头盔平显那些是AR吧,000173
100,致敬,000177
101,你说的一个字  我都不信,000175
102,太棒了,000181
103,，,000193
104,我今天休息,000175
105,社畜,000175
106,恭喜,000196
107,所以韩国人知道太极是什么意思吗？,000211
108,致敬,000184
109,爱自己,000199
110,吃瓜吃到自己家吗这是,000211
111,泪目,000206
112,？？？？？？？,000211
113,正义之花,000184
114,生于忧患死于安乐,000182
115,我爱你,000199
116,哈哈,000191
117,这境界,000184
118,把这货的名字给他摘了！,000177
119,人家就看八宝粥,000200
120,挖坑？？,000192
121,不不不 我就不打算写,000200
122,什么时候卖，多钱,000182
123,高情商,000180
124,经费爆炸,000203
125,天灾,000178
126,排除房子，我国真的能达到发达国家水平,000196
127,啥都不是，还是买不起。,000196
128,来几个人集资众筹买一下,000182
129,完了我要死了,000199
130,太好了,000196
131,致敬,000177
132,跟我一样大……,000177
133,哈哈哈哈哈哈哈哈哈哈,000185
134,你好！,000181
135,哈哈哈，我裂开了,000193
136,超市收银员可还行哈哈哈哈哈哈,000191
137,鬼鬼:鹅鹅鹅鹅鹅鹅,000186
138,卧槽,000203
139,6666,000188
140,炫收藏可比炫富强,000192
141,A爱自己,000199
142,无怨无悔！,000184
143,致敬,000184
144,我没存款诶,000210
145,小李:爷要离职,000201
146,不跟你多要，拔万！,000203
147,一库吧,000196
148,易方达蓝筹和易方达中小盘那个好,000202
149,猩红战争,000178
150,nb,000188
151,哈哈哈哈哈哈哈,000211
152,哈哈哈哈哈哈哈哈,000183
153,公子面如玉！,000183
154,welcome,000181
155,对 因特网也是诞生在战争期间 ,000173
156,握草好燃,000190
157,窒息,000183
158,就是一个没受过教育的狗东西,000177
159,支持美女,000211
160,？？,000197
161,不是人民币升值而是美元贬值了，放水4万亿了，全球货币都在升值，除了印度这个奇葩，他自己印的更多，美元收割，头一个死的就是印度,000210
162,韩国你们的脸呢？,000211
163,以战止战,000184
164,致敬,000184
165,这样能上的话 我也能上,000193
166,霍格沃茨哭泣,000178
167,有价无市,000179
168,不好出手,000179
169,爱自己,000199
170,好耶好耶好耶,000196
171,不可能没有人意识到，你没必要用这样贬低性的语句去形容一个国家,000182
172,啊这，,000198
173,好客山东,000206
174,永乐,000198
175,geigeigeigeigei,000186
176,会,000210
177,我不生 我不生,000187
178,帮他受个重伤吧,000177
179,666,000178
180,我看过这个电影！！,000188
181,这样确实会给人的潜意识加上一些警告,000203
182,ㅋㅋㅋㅋㅋ,000186
183,我去我感觉这和我的心跳共振了,000178
184,致敬,000177
185,一发核弹互相灭国,000173
186,贾平凹本来就是个黄暴狂徒，哪有啥晚节？？？,000193
187,专家,000193
188,喔唷,000184
189,哪个学校的,000177
190,不值得你活个屁。你妈是不是不值得生你。,000187
191,这怎么吃,000187
192,不值得,000187
193,兔子：给我看看,000173
194,这是真的核心技术,000184
195,未来已至,000196
196,哼哼哼哼哼哼哼哼哼哼哼,000186
197,有用？更买不起了好吗,000196
198,过两天,000212
199,6,000174
200,有能耐弹幕上的你可以不回去,000175
201,我特别喜欢下雨，不过有的时候真的很像煎鸡蛋…,000200
202,正道的光,000193
203,哈哈哈,000191
204,66666666,000196
205,卡点了哈哈哈,000190
206,我吐了,000195
207,是,000200
208,学霸家族可怕,000184
209,买汽油来自己发电岂不是赚了,000189
210,哈哈哈哈哈哈哈,000193
211,那可不，韩国只有泡菜了,000206
212,生不起,000196
213,舍生取义,000198
214,哈哈哈哈哈哈哈,000191
215,连这都有新闻了 散户该撤了,000198
216,冰冻过的,000174
217,点鸡,000183
218,这个旗。。看的好难受,000211
219,梅西？,000181
220,那你咋不换个屏幕呢,000207
221,这叫肌理？,000178
222,致敬,000184
223,绞杀战，信息站 核战,000173
224,和当年的 淑芬 桂花一样,000196
225,坏了,000177
