,弹幕,vid
0,合适,000505
1,一起去**,000497
2,我朋友玩我手机了！,000508
3,保命要紧,000491
4,那他们高考得多轻松。。。,000505
5,一嫖到底,000514
6,高情商,000514
7,我程序员都没,000497
8,刚不过咱可以溜嘛……不说老家县城，三四线还是完全没有问题的,000521
9,"小学英语老师本人,对“标准答案”表示无奈",000523
10,哈哈哈,000519
11,哇！！！,000494
12,草哈哈哈哈哈哈,000522
13,这种刀实用不,000502
14,当然是撕拉,000496
15,上海人民震惊一整年,000515
16,欢迎大家来找我玩！！！,000496
17,到现在还有多少国内外黑客还在用冰河,000495
18,针不戳,000508
19,明知是青铜,000493
20,什么p社！？10个枪毙11个还有一个漏网的,000529
21,星际nb,000531
22,好家伙就我一个人只会必修二其他的不会吗...,000516
23,赞赞赞,000489
24,下次一定,000514
25,这些员工去做自己想做的事,000491
26,谢谢谢谢up,000496
27,大一,000516
28,哇！金色传说！,000510
29,妈咪手哈哈哈哈,000487
30, 赋分后生物轻松100,000516
31,帽子颜色不同各人职责不同,000498
32,这么多虫子，可怕,000510
33,从事的是互联网行业，看到你讲的，我悟了,000490
34,A L K A L O I D ,000512
35,小亮泽野螳螂说,000510
36,祝福,000504
37,老番茄哈哈哈哈哈,000531
38,手机拿远了,000510
39,3,000531
40,耳机党表示有被吓到,000497
41,我能吃完为什么要分给你啊。。。,000491
42,可恶!,000511
43,la,000490
44,辛苦了,000527
45,武汉长江大桥是苏联修建的每年都在维修到现在都保养的超好,000520
46,美国战忽局骨干,000520
47,大佬,000486
48,狂赞你，他们这种搞又啊很么一爱为,000523
49,牛逼,000487
50,假的,000491
51,哈哈哈哈哈哈,000522
52,哈哈哈哈哈,000501
53,明白了,000489
54,下面就有,000514
55,猫，妈妈又吐了,000522
56,可以啊up主的方法！,000496
57,哈哈哈哈，用这个擦过屁股,000512
58,黑个联邦安全局乐呵乐呵？,000495
59,魔刀千刃,000514
60,现在复述早已公开的情报doge,000502
61,哈哈哈哈,000487
62,阿  努  比  斯,000497
63,哈哈哈哈哈,000519
64,致敬,000533
65,贪吃蛇？,000531
66,卧槽,000486
67,致敬,000533
68,乐了，你别误导刚进入职场的大学生了。,000499
69,脐带,000518
70,建议直接挪到西贡,000513
71,平 型 关 大 捷,000512
72,6666,000521
73,但是我听不下去,000516
74,向普外科医生致敬，我们真的需要急诊医生～,000527
75,广告,000528
76,你说的太好了,000521
77,封疆大吏！,000513
78,知识分子的薪酬还是应该提高，再加强家庭和学校教育,000511
79,？？？,000490
80,这题做过欸,000496
81,好牛！,000487
82,就你一个人呗  没人跟你分钱了呗,000491
83,做过,000496
84,b站好几个留英学生直播呢，看着头疼,000492
85,我们这种高一清北班比高四奋进班都惨，我们已经做过这套题的英语和语文了,000524
86,物理第一来凑个热闹,000496
87,非战斗人员请撤离,000518
88,致敬,000533
89,弹幕笑死我了,000508
90,最后一行有sans和托比,000531
91,211111,000520
92,我特喵还以为是水中白条呢,000497
93,教练脾气真好,000507
94,没有一只鸽子能活着走出广东,000501
95,awsl,000501
96,你再骂（恳求）,000516
97,毕业一年多了，三方还在自己手里,000489
98,战争信鸽,000501
99,我也悟了,000496
100,大快人心,000511
101,对,000492
102,哈哈哈哈哈,000512
103,50~60,000516
104,流弊,000486
105,电池鼓包的原因有以下几种：1.长时间充电，充电器不拔出来。2.多次用不同型号的充电器充电。3.充电器不规律性频繁拔插。4.充电电压不稳。5.国内外标准不同6.两个以上的充电器一起工作。7.直流电和交流,000509
106,每次我躲开它们就像路面烫脚一样,000510
107,好,000511
108,我们在外驾校考试 场地不一样 模拟考试被骂了 但是考试一把过了,000507
109,期待,000518
110,这次一定,000514
111,哈哈哈哈哈哈哈哈哈哈哈哈,000524
112,结业？,000511
113,？？？哥你确定学了英语的xswl,000522
114,狼人,000531
115,牛逼,000502
116,哈哈哈哈哈哈哈哈哈哈哈哈哈哈,000491
117,身为一个医学生，真是异曲同工啊,000487
118,都是大佬,000495
119,还带着媳妇,000501
120,好攻好喜欢～,000516
121,对，我们这边晚上总会这样照，为啥？,000512
122,多年以后，美国总统在白宫前看着中国界碑陷入沉思,000513
123,好棒好棒,000487
124,英语听力靠直觉比听简单,000524
125,有没有跨行居中的方法，同一列下如何不合并能居中,000488
126,十分感谢！！！已投币三连！,000496
127,大型孕吐现场,000487
128,hhhhhh,000487
129,？？？？,000494
130,垃圾生物有手就行,000516
131,下次一定！,000514
132,关我d事,000505
133,额.......,000487
134,医生居然被护士摆脸色,000527
135,？,000491
136,Calgary 也是LRT,000522
137,故障诊断里有的，自–自己，激–激励，震荡–字面意思一般机械设备中震荡是产生破坏发生故障的主要原因，本来震荡的产生是需要激励，就是一个输入，但也有震荡能自己给自己产生激励的，那就导致震荡越来越大,000520
138,说实话巨人英配还挺不错的,000502
139,哈哈哈哈哈哈,000519
140,哈哈哈哈哈哈哈哈哈,000502
141,？,000503
142,我背是背了，可背的这么快记不进脑子，怎么办？,000529
143,不要尝试去骗你人为那些根本你骗不了的人,000490
144,狗贼,000511
145,我有个朋友喜欢看,000508
146,致敬先辈,000511
147,致敬,000533
148,我爱up,000496
149,我深有体会（落泪）,000512
150,这就是爱情,000504
151,哇我竟然不疼,000497
152,全程看车，为什么都是白车,000521
153,膜拜大佬,000495
154,？,000514
155,嘤嘤嘤,000486
156,希望你们一定要大赢啊……,000517
157,进击的土豪,000502
158,！！哇c,000496
159,我有个朋友,000515
160,弹幕三连,000521
161,而你却只能歌颂，不能抨击制度,000533
162,是我,000529
163,好！,000517
164,只有完美的作品，么有完美的人,000514
165,赞赞赞赞赞,000529
166,大天津已经从直辖市退位到二线城市了,000521
167,确实,000514
168,做个手板件,000502
169,眼科医生：？,000497
170,进步相当大,000507
171,是下次一定,000514
172,30分钟,000501
173,强哥海外的家族信托怎么解释，随时都准备跑路,000491
174,那个时候穷人工资才一两百一个月,000511
175,辛苦了,000527
176,东学西渐,000520
177,hhhhh,000487
178,哈哈哈哈哈哈哈哈,000487
179,好大的虫子,000510
180,我也,000501
181,对福建考生表示考完后裂开,000524
182,别学了，回家吧,000507
183,湖南考试再此,000524
184,牛啊魔法,000494
185,那么请问一大堆普通人怎么办?就业如何解决?,000491
186,混入其中,000514
187,给你七项都造不出来，菜,000511
188,我再上四个我就是狗！,000531
189,up太低调了,000487
190,bilbili,000531
191,ohhhhhhhhhhhhhhh,000487
192,巴菲特是五十年20%,000518
193,战地一开鸽子,000501
194,哈哈哈哈,000519
195,虚空掠夺者  卡兹克,000510
196,哈哈哈哈,000501
197,对对对,000523
198,C,000496
199,东本人不同意,000505
200,那你生吧,000505
201,赛百味？,000522
202,Ccc前几天做过,000496
203,然而老家就是广州，已经没有我的立身之地了,000521
204,致敬,000533
205,太中二了哈哈哈,000502
206,再见(=_=),000529
207,技术宅最可怕,000486
208,不留警徽可太不做好了哈哈哈,000531
209,植保专业？,000512
210,好漂亮的小姐姐,000506
211,？？？？？？？？？？？？？？？？？？？？？？？？？？？？,000508
212,哈哈哈哈哈,000527
213,可问题是大量员工失业，购买力不足，供大于求，企业再裁员的死循环如何解决？这离经济危机也就不远了,000491
214,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,000527
215,你还能改变人性咋滴，人性本就是贪婪的,000491
216,痛苦面具,000531
217,太感动了,000504
218,小时候爸爸抓着养我妈不让,000510
219,大一狂喜,000524
220,打反转,000528
221,我嫉妒 嫉妒的点赞,000504
222,才亏百分之十这个也比散户牛逼,000518
223,好官方啊,000495
224,哈哈哈哈哈哈哈哈哈,000501
225,你脑子坏了吧,000509
226,蜘蛛说话了,000512
227,666,000486
228,90多分+1,000516
229,只需要生产奥莉薇,000520
230,哈哈,000500
231,战术破音,000497
232,内卷,000490
233,下次一定,000514
234,我不对劲,000494
235,c,000496
236,好凶的小家伙！,000516
237,高玩,000531
238,哈哈哈,000502
239,香洲，珠海？？？,000517
240,期待,000518
241,手麻也可能是因为脑梗，建议去检查一下,000497
242,下次给他调成正转,000528
243,哈哈哈哈哈哈,000527
244,。。。。,000508
245,没错,000529
246,不信谣不传谣,000491
247,66666,000516
248,明白了,000489
249,黑龙江人表示想诛他九族,000511
250,数控,000502
251,哈哈哈哈,000527
252,钻头拿来，我给你磨一下,000528
253,我背是背了，可背的这么快记不进脑子，怎么办？,000529
254,孔乙己好评,000523
255,和姐姐手贴贴,000529
256,我用词根词缀,000529
257,马陆,000510
258,up猪好漂亮。,000529
259,卧槽,000514
260,明白了,000489
261,2,000520
262,ohhhhhhhhhhhhhhhhhh,000487
263,致敬,000533
264,全都是大佬,000495
265,？？？？？,000496
266,赛百味,000522
267,天天让你贷款，恨不得点外卖都贷款,000490
268,我只知道读法呜呜呜,000529
269,大一不请自来,000524
270,这个必须顶上去让更多人看到,000517
271,举报了举报了,000508
