,弹幕,vid
0,迷你：这个我熟,000094
1,5分钟，我最多5个单词，然后几分钟后全忘,000093
2,没听懂.....真没,000093
3,我都忘了前面说的啥了,000093
4,钱向洪水一样涌出来,000084
5,卧槽,000086
6,黑暗黑暗黑暗黑暗黑暗​,000085
7,吓死我了,000087
8,666,000086
9,给赞了这句话,000089
10,懂了 这就白嫖,000089
11,I see.,000091
12,哈哈哈哈哈哈哈哈哈,000093
13,can,000087
14,给我笑死,000089
15,电梯同款BGM！,000085
16,1,000083
17,1,000083
18,你三连有了,000089
19,看看你的,000086
20,我要强化版的。,000089
21,抖音和快手已经是了low 逼门代名词,000094
22,好专业,000085
23,惨,000087
24,惨,000087
25,I wanna是啥,000089
26,我感觉我高中三千五都不熟,000093
27,惨啊,000087
28,你说的不是战役，是泡沫破裂,000087
29,刚需房该买还得买,000087
30,哈哈哈哈哈哈哈哈哈哈哈哈哈挺好,000089
31,单身避孕,000089
32,深圳,000087
33,你币没了,000087
34,组胚？！上学期刚学完,000089
35,真扯，我在韩国，除首尔，其他稳定,000084
36,贾猫围挒可还行。。,000089
37,？？？？,000086
38,辛苦了,000094
39,巴尼！,000083
40,2,000083
41,一直处在巅峰,000086
42,？,000094
43,我有个朋友…,000086
44,俗称：皴 fun,000085
45,那要买啥啊,000089
46,天天量刑,000088
47,有多长 我学了这么多年 怎么还是这样,000091
48,无限套娃,000093
49,呜呜，都买不起,000087
50,餐,000087
51,不知道？？？,000085
52,我有个朋友......,000086
53,好了 吓得我赶紧敷了个面膜,000085
54,???,000094
55,安排,000084
56,1,000083
57,太惨了哈哈,000087
58,行，我活该的,000086
59,有被内涵到,000093
60,皴,000085
61,古振兴的下一代,000094
62,我帮朋友看的,000086
63,1,000083
64,虽然不考研，但是我还是想挑战下,000093
65,啊啊啊啊，反手一个关注,000083
66,所以说北京房产不稀缺，把首都让给深圳或者上海吧，房价都不涨了,000084
67,好家伙，一分钟10个 平均6秒一个,000093
68,1,000083
69,我的皮肤吃肉奶蛋,000085
70,参照日本泡沫破灭前期,000084
71,我帮罗倾城看看,000089
72,护眼,000085
73,1,000083
74,惨,000087
75,1哈哈哈哈哈哈,000083
76,背完第8天早上的，不是一共6遍嘛？？？,000093
77,1,000083
78,西二旗,000087
79,4.6了,000084
80,我笑死了,000093
81,？,000094
82,？？？,000094
83,第五天晚上有哪几天单词啊??我懵了,000093
84,建议抄袭入刑法,000094
85,我直呼好家伙,000094
86,为什么不是 她爸爸买了她的词典？,000091
87,朋友托我看的,000086
88,我们这叫苟夹或者格燥，具体是那几个字我也不知道，但就是这么发音的,000085
89,没听懂我靠我是个傻子,000093
90,干活喽！,000094
91,1,000083
92,??????????,000094
93,姐姐好看,000083
94,比窦娥还惨,000087
95,Pike,000093
96,俗称“皴”,000085
97,目标导向享受过程 目的导向追求结果,000083
98,男生不问?,000093
99,惨,000087
100,紧 跟 时 事,000089
101,可以躺着让女方动啊,000086
102,体外啥意思,000089
103,你信了?,000089
104,卧槽！！！！！！！！！？商周,000088
105,哈哈哈哈哈哈哈哈哈哈哈,000093
106,深圳的东莞可还行,000087
107,1,000083
108,小小的虚拟币？,000084
109,都这么套路了么,000088
110,同款后脑勺！！！,000083
111,快了，上个拿自己地产价值来对标“买美国”的国家死的老惨了,000084
112,刑部侍郎，您又来啦？,000088
113,无期,000088
114,救命啊，哈哈哈哈哈哈哈哈哈哈abandon,000093
115,文盲？,000087
116,惨，好惨啊,000087
117,懂了这就去下狗音,000094
118,稀粥的！,000088
119,提醒，这个小姐姐很性感,000084
120,惨,000087
121,来活了兄弟姐妹们,000094
122,猝不及 。。。。  防住了？？？？？？？,000085
123,十天后就死了,000093
124,又来了？,000084
125,17年后上海房价依然稳步增长,000087
126,1秒呢,000086
127,艾宾浩斯绝望曲线,000093
128,你在骂,000087
129,？？；计数君在哪，这是第几个坑了,000089
130,?,000088
131,2,000083
132,辛苦了,000094
133,惨,000087
134,我是不是没开弹幕,000091
