,弹幕,vid
0,五国语言太厉害了,000243
1,真的牛皮,000259
2,相,000277
3,真的不理解那些不敬业的艺人凭什么拿那么多薪资,000268
4,夺笋啊,000275
5,喷的人都是啥心态 理解能力差劲,000263
6,严格，强制是不同的概念,000249
7,这个适合食堂量大的用，自己做饭清理起来会搞心态,000261
8,点阵？,000283
9,雕刻完成应该需要很久吧,000259
10,以后壳就没用了,000282
11,奇葩说就是真的是奇葩说的话，娱乐节目来的,000286
12,我为什么会刷到这条视频,000263
13,反光质感很塑料,000278
14,那几年公务员大部分是去各大高校招,000281
15,弹幕酸的，有本事你们来啊，就会叫,000258
16,曹德旺不是什么好东西,000279
17,毛毛,000259
18,我就想说这关那个央视主持人啥事啊？,000268
19,声音是重点,000256
20,你反思有啥用啊，资本家又不会反思你反思有啥用啊，资本家又不会反思,000249
21,升官发财,000274
22,离谱,000259
23,草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草,000271
24,带男朋友到宿舍是不对，但是up也没必要在朋友圈昭告天下啊，私聊不行吗,000263
25,欧元的两毛钱,000283
26,我甚至画过这个。,000259
27,这是“知识”财阀！,000281
28,我妈晚上在家煮饭2,000257
29,牛啊,000272
30,今年大小周将成为常态,000249
31,考古专业？？？,000237
32,单休？ 我的天？上班还能休息吗,000249
33,生财有道,000250
34,正道的光,000272
35,无了,000257
36,热乎的安安帽,000251
37,再快点再快点,000260
38,wto的原因,000258
39,给你给你,000272
40,可是绝大部分公司的钱又不到位,000249
41,郑,000277
42,高层 叫资产重组,000286
43,角度刁钻,000244
44,害怕,000261
45,没那把死刑剑好看,000278
46,不会,000286
47,3000题材,000273
48,倒也不至于撒谎吧,000263
49,吸血鬼,000279
50,一眼假？,000278
51,在这一刻，米开朗基罗才是上帝,000259
52,鲶鱼就是不兴带老师,000273
53,好家伙，我直接好家伙,000278
54,字幕没了,000268
55,见棺材发财,000274
56,难吃是关键！！！,000262
57,？？,000256
58,救救救,000257
59,搞酱香科技也要粮食啊，这两个是一个利益立场的,000258
60,哈哈哈哈,000256
61,可是尿意超管用,000265
62,1453-5-29,000238
63,牛～,000278
64,龟片？？？,000256
65,2,000258
66,不会,000286
67,好好说话,000271
68,22,000257
69,舒服,000283
70,不懂不要乱说,000244
71,戴飞是你吗 我是米奇呀,000237
72,草,000254
73,震惊我妈一整年,000256
74,哈哈哈哈哈,000272
75,花钱就不是人渣？,000263
76,那我可以买别人的吗,000253
77,BGM好评！！,000272
78,思考一下你为什么进来,000256
79,小品就是要笑話啊,000267
80,升官发财,000274
81,升官发财,000274
82,找个女朋友,000265
83,2014-5-18,000238
84,好家伙视觉效果就像软胶一样，根本不敢相信是石头​,000259
85,穷人也买不起棺材都是草席裹着埋,000244
86,啊这,000254
87,事业单位已经上岸了 准备备考公务员,000281
88,哈哈哈哈哈哈哈哈,000244
89,简直赌博阿,000281
90,哈哈哈哈哈啊哈哈哈,000275
91,2013-04-07,000238
92,这操作就很别具一格。,000264
93,2018—9—1,000238
94,你币有了,000286
95,1892,000238
96,《真话》,000272
97,想要！！！！,000252
98,一看长相就是同道中人录取成功,000240
99,你币有了,000272
100,大实话,000241
101,父爱,000272
102,笑死,000282
103,升官发财,000274
104,666,000281
105,内卷,000281
106,一辈子为你服务？,000279
107,。。。。。,000274
108,毕业即失业,000281
109,teacher xu,000264
110,我直接…好家伙,000244
111,有意思,000264
112,花那么多钱，如果还说的不好，他爸该让他回万达上班了,000251
113,难吃,000262
114,这还行,000261
115,都没有 我是FW,000280
116,就是更喜欢美音,000251
117,好用,000261
118,好！,000264
119,海味馄饨,000265
120,明度,000277
121,想谈恋爱，但是遇不到对的人。,000286
122,一刀9999999,000244
123,本来也是在讽刺这种观念啊,000267
124,22222,000258
125,真实,000265
126,钓鱼佬除了鱼什么都能钓,000278
127,真香,000265
128,？？？？？？,000244
129,发生什么事了,000264
130,通过鄙视,000240
131,关 键 抉 择,000249
132,阿~,000256
133,好汉歌,000273
134,这种up挑拨国家言论已举报，不谢！,000249
135,2,000265
136,每天都很困,000265
137,狗东西,000279
138,降维打击,000254
139,什么叫方块字啊？,000277
140,政治根本不要买书,000252
141,万物归于高利贷,000281
142,吃过一次没去过了，太贵了,000262
143,财大NB,000287
144,第一次听说,000249
145,干得漂亮,000272
146,升 幂 公 式,000254
147,死刑起步,000237
148,钱就可以了？？,000263
149,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,000260
150,2,000258
151,2,000265
152,英音确实好听,000264
153,说下巴的笑死了,000287
154,装腔作势,000240
155,过久了依然香。,000286
156,biangbiang面,000277
157,别侮辱文化好吗！这跟文化有什么关系呢,000244
158,正道之光,000272
159,最后那一段笑死我了哈哈哈哈哈哈哈哈哈哈,000245
160,哈哈哈哈真行,000275
161,我去,000244
162,就他妈赖皮,000268
163,？,000248
164,笔试到处都是线上资源，但对小白来说面试确实是培训班效果好,000281
165,“他”,000268
166,想必是没见过漏勺,000261
167,看到这  都知道你是个什么样的人了,000263
168,2,000286
169,财大nb,000287
170,我支持855,000249
171,如果不需要老婆生孩子，彩礼可以谈,000286
172,没事我还小,000257
173,现在这一日好多企业都不保证,000249
174,关键是买,000249
175,嘶，厉害,000272
176,大寒冥国：汉字是我发明的,000277
177,薛定谔的爸…,000244
178,肯德基40吃不到饱那是你不会吃,000262
