,弹幕,vid
0,抓根宝,000118
1,老鼠仓,000099
2,教 育 家,000117
3,芜湖,000124
4,这是第三遍了吗,000096
5,泪目,000105
6,卧槽,000124
7,哈哈哈哈哈哈哈,000121
8,好难受,000122
9,天天炫富,000104
10,没必要吧,000097
11,15岁呢,000109
12,天天炫富,000114
13,阿玛尼,000116
14,这个我买过,000122
15,武松直呼内行,000115
16,流水了,000108
17,秒啊,000119
18,明白了,000111
19,天年,000119
20,zoom（doge,000116
21,懂爷,000105
22,麦克雷,000115
23,怎么给自己视频选标签呢,000101
24,卧槽卧槽卧槽卧槽卧槽卧槽哈哈哈哈哈,000105
25,泪目,000105
26,明白了,000111
27,你好，朋友！,000106
28,有區別嗎,000106
29,刚开始的简单吧,000096
30,好家伙我爸也是,000117
31,这都是接着的！？,000104
32,家里是做什么啊问问,000104
33,更新啦,000100
34,哈哈哈哈哈哈,000121
35,房屋着火还是要低头的，主要是防粉尘，不是防二氧化碳,000122
36,湖北今年都没下雪,000119
37,致敬,000113
38,借你吉言,000108
39,好家伙，刚从海螺珠那过来,000104
40,明白了,000111
41,让我想起了恶魔城,000100
42,这个闺蜜有胡子,000116
43,应届生就是用来骗补助的吗,000111
44,差点社死,000107
45,致敬,000113
46,存在无私，不要乱说,000115
47,卧槽,000115
48,谢谢,000119
49,哈哈哈哈哈哈,000105
50,只送大脑,000115
51,明白了,000111
52,2,000099
53,想给他一巴掌,000108
54,egg吃肉来了,000119
55,1,000099
56,其实从傅雷家书中就可以看出来,000117
57,？？？,000117
58,太虚之握,000118
59,？？？？？？？？？？？？？？？？？？？？？？？？,000108
60,我同位素地质学白学了？？接着扯，我撤了,000119
61,危,000123
62,聋了聋了,000120
63,我记着还有种露着屁股的,000118
64,26一天一次,000109
65,2,000099
66,保护,000099
67,明白了,000111
68,泪目,000105
69,火车上的我，满音量原地去世,000107
70,有问题了,000116
71,把弹幕打在保护上,000099
72,？好家伙,000117
73,蛇皮走位［滑稽］,000119
74,谁不是冲着标题来的？,000118
75,9000,000120
76,4 4 years,000105
77,初中物理。,000122
78,好家伙，瞬间发才,000112
79,养生呢,000109
80,杨先生好可爱,000117
81,好好看,000114
82,明白了 非常感谢,000111
83,摸多了不长个,000123
84,汝听人言否,000114
85,保护,000099
86,就是我啊啊啊！！！,000111
87,天真,000100
88,泪目,000105
89,警觉,000116
90,给我泪目给我哭！！！！,000105
91,这样的人渣被大家捧上天,000117
92,走吧，以后不用再来了,000103
93,20岁的我已经过上50岁的生活了（哎）,000109
94,？,000117
95,泪目,000105
96,黑欧珀,000104
97,平安跳抓钱舞,000099
98,。。。我的耳朵,000102
99,中国最大的cxzz,000099
100,明白了,000111
101,战国手榴弹,000121
102,甄姬无惨,000125
103,哈哈哈哈哈哈,000123
104,比博燃,000124
105,这不是礼尚往来吗 占 肯定占,000100
106,无情铁手,000105
107,2,000099
108,卧槽,000124
109,都怪我们国人吃太多猪肉导致d的全球变暖,000119
110,亲生的,000112
111,这里可以直接选择居中模式，没必要这么麻烦,000125
112,贾     环,000117
113,我寻思北京零下19挺幸福 哈尔滨零下30多度我还能挺,000119
114,？,000109
115,哈哈哈,000123
116,默哀,000100
117,这TM还要算,000112
118,泪目,000105
119,鲶鱼呼叫牛蛙，鲶鱼呼叫牛蛙，请求支援,000121
120,这个。。。。那猫的样子不同的多的是,000106
121,？,000117
122,草,000124
123,多吃肉,000119
124, ？,000117
125,？,000121
126,帮朋友看看(doge),000108
127,卡的刚刚好,000100
128,明白了,000111
129,《来 好 事》,000108
130,????????,000115
131,保险业不就是传销模式吗？,000099
132,《好 父 亲》,000117
133,套娃，套到最后会是啥？,000119
134,枪斗士,000115
135,钱老师：你在教她做事？,000117
136,冰期,000119
137,借您吉言,000108
138,1,000096
139,“现在的”意思,000096
140,肉,000119
