,弹幕,vid
0,2,000099
1,看看你的,000118
2,云天明！,000115
3,小丑竟是我自己,000105
4,家人们，买海螺去,000112
5,一万三,000120
6,?,000117
7,这tm不是传销嘛,000099
8,你三连有了,000115
9,oh yeah,000118
10,juiohygftr,000115
11,泪目,000105
12,2,000099
13,现代工业残次品,000123
14,目瞪口呆,000119
15,美国英雄在哪里,000100
16,IE万岁！,000110
17,9500,000120
18,官方传销,000099
19,宇宙生物论,000115
20,浓硫酸的绝了,000116
21,兼职不等于就业,000111
22,你就算换成大玻璃罩，火灾也要低姿态逃生,000122
23,干还油,000116
24,2222,000099
25,等等止血？？,000107
26,我也是初二正在预习傅雷家书,000117
27,好 父  亲,000117
28,！！！！,000118
29,方言,000106
30,都是打工人,000111
31,柴油和石油,000116
32,水猴子的亲戚哈哈哈哈哈哈,000122
33,草冷战女孩突然不合时宜的嗑到了（你他妈,000105
34,哈哈哈可以的,000121
35,欧珀，宇宙一样的宝石,000104
36,重新定义，倒满,000122
37,我裂开了,000119
38,他给的实在太多了,000119
39,所以 说祖传的没几个是人话,000123
40,无情铁手,000118
41,2,000099
42,泪目,000105
43,早早懂到了,000115
44,？？？？？？？？？？？？？,000117
45,小罗,000121
46,人们只看到了傅雷的忏悔，没看到他的另一面,000117
47,不得不说，这张好像罗志祥,000105
48,手到擒来,000118
49,逆子,000116
50,看字幕知道说什么，听就瓦塌了,000096
51,高中地理有能出题了,000119
52,也是初三化学,000122
53,P=F比S,000122
54,进度条是真的贴心,000111
55,感谢川建国,000100
56,转发这条理鳞,000119
57,头部，躯干,000106
58,哈哈哈哈哈哈哈哈,000121
59,非均匀成核,000122
60,10岁一天一次,000109
61,可喜欢我了,000105
62,今年南方暖冬,000119
63,哈哈哈哈,000123
64,致敬,000113
65,猝不及防,000116
66,2,000099
67,可爱,000107
68,地理学还是很重要的,000119
69,百山主角蟾,000106
70,致敬,000113
71,太创了，太创了,000121
72,？,000114
73,无中生友,000108
74,第四位面壁者,000105
75,致敬,000113
76,2,000099
77,啊,000100
78,致敬,000113
79,致敬,000113
80,封面？？？,000115
81,令人心动的offer2！,000097
82,可以送给我吗,000114
83,9000就没了,000120
84,胡说八道,000108
85,2,000099
86,国家龙吸水运动员,000122
87,？？？,000109
88,快乐哈哈哈,000118
89,一天一次,000109
90,一枕就扁了,000102
91,哈哈哈哈,000112
92,不得了，一模一样,000106
93,朋友你缺兄弟吗？,000104
94,莆田口音,000112
95,鱼皮花生,000112
96,致敬,000113
97,麦克雷？,000115
98,这句说的好,000100
