,弹幕,vid
0,那没事了,000234
1,这老师真好。,000218
2,你不好好写作业在干什么！,000213
3,同学1111,000214
4,上一中,000216
5,恶心,000229
6,我的血压上来了,000214
7,小时候看到过，被吓到人，然后叫上小伙伴把他给办了doge,000230
8,我知道老师长得像谁了  二妮  漂亮,000218
9,懂,000216
10,？,000231
11,撩头发关你屁事，保护up,000221
12,懂,000216
13,好家伙,000222
14,双标狗竟是我自己,000234
15,原子弹yyds,000235
16,告辞,000235
17,保护,000221
18,国企主要承担的就是社会责任,000223
19,自投罗网，不打自招,000228
20,阴间音lo,000230
21,那么，在哪里才能买的到呢？,000231
22,我废了,000232
23,中国人民大学,000216
24,下辈子见见,000226
25,这是我能听懂的，很好,000232
26,心脏骤停。,000218
27,2,000221
28,考完了（哭）,000227
29,孩子已吓哭，谢啦！,000213
30,盗墓的,000217
31,我觉得这种礼仪只要小时候被大人带去吃过饭就该懂了,000214
32,机器跟人工的区别是人工多了皮屑和汗液...,000229
33,怎么感觉像审问犯人一样……,000232
34,可是老师只看这些我有什么办法呢,000216
35,少了你的人性,000229
36,这就是三价铁吗,000213
37,好家伙 这盒商徽也一百多块钱了,000220
38,液态氮还真不贵,000223
39,一氧化二氢好评,000213
40,道~~~路~~~,000231
41,这个太狠了,000230
42,哈哈哈哈哈哈哈哈哈哈,000220
43,你可以,000234
44,那没事了,000234
45,前面，不是电视剧，是真人秀令人心动的offer2,000214
46,长是18,000218
47,别被降低底线了啊,000221
48,我下意识接了一句here we go,000232
49,这么久。。。,000226
50,秒五,000227
51,这个很一般,000235
52,这,000231
53,哈哈哈哈,000217
54,…,000214
55,冲冲冲哈哈哈,000214
56,这个学期最大的收获就是开始明白自己为什么要学习，对学习应该是什么样的态度,000227
57,瑟瑟发抖啊,000218
58,告辞,000235
59,一直在看美女，美容忘了,000221
60,北师大,000216
61,野生奥特曼,000230
62,第一个就这？没切过菜？,000231
63,姐姐好美,000221
64,中国牛逼,000223
65,等等等等一下，你在干嘛！,000231
66,鞋——子——,000231
67,我怕万一真的用力过度磨破皮,000213
68,保护,000221
69,哎呦妈耶,000217
70,我骂我自己,000229
71,我就喜欢科普,000222
72,保护,000221
73,真实了,000224
74,建议温柔改下标题，容易被人误解。,000227
75,老婆你真好看,000221
76,没有15的我迷茫了,000216
77,你说的学习是在学校的学习吧,000227
78,宽是12，长是18,000218
79,不值钱,000228
80,监狱兔里面的吗,000230
81,低调做人，虽然慢热，但是能平稳落地,000214
82,OK,000234
83,tmd对,000224
84,？,000219
85,好辣眼睛,000231
86,-1,000230
87,吹牛逼吧 美菱早就已经造出来了,000223
88,难怪买的饺子吃多了会腻,000229
89,哈哈哈哈哈,000214
90,太假了姐妹,000232
91,那没事了,000234
92,哦，那算了,000234
93,我也是,000216
94,澳柯玛牛逼！！！！！！！,000223
95,靠靠,000232
96,保护,000221
97,古墓开发,000228
98,hhhhh,000217
99,我的天这，，，，这三观真的是绝了,000221
100,来了 ,000229
101,全家福哈哈哈,000229
102,啊这,000214
103,妈耶，宝友，这可不兴戴啊,000220
104,夸克给你多少钱了，我UC给双倍,000227
105,哈哈哈,000217
106,水波斯,000230
107,你好漂亮 保护美女,000221
108,蒜！,000229
109,看不到我,000213
110,恭喜你发现宝藏up主,000213
111,对不起,000218
112,有点凡尔赛,000216
113,好可怕,000230
114,嫌弃哈哈哈哈,000220
115,青岛在这个位置？,000223
116,把老师都气秃了,000218
117,考官陷入沉思：我幸福吗？,000232
118,举报,000217
119,也不是一直访问不了，以前可以的,000235
120,东南大学,000216
121,focus,000232
122,、,000231
123,救?  先搞清谁才是需要被救的吧,000223
124,hiririririririririri,000226
125,针不戳,000227
126,真久作,000231
127,开始背书,000232
128,居然是吃肉,000229
129,那可太端正了,000218
130,我们这叫板凳,000230
131,吓人啊,000218
132,艾滋本身不至死，埃博拉本身致死性很强,000223
133,那没事了,000234
134,姐姐好好看,000221
135,无语╯﹏╰一下子就上千年,000228
136,不吃了,000229
137,这个我都抓过我们那边叫水板凳,000230
138,草，這玩意老難洗了，別問我怎麽知道的,000213
139,衮，再见,000235
140,哈哈，再来个二氧化二氢消毒,000213
141,我们这里叫夹夹子,000230
142,哈哈哈哈哈哈哈,000214
143,好家伙,000214
144,尿盆？？,000226
145,宝友，这键盘秦朝的,000226
146,预言家,000224
147,那没事了,000234
148,英语不行就去学日语，我学一年日语考了九十几,000216
149,闻到香味儿了,000231
150,哈哈哈哈哈哈哈哈,000220
151,小时候见过好几次，这东西生活在地下挖东西挖出来,000230
152,咬一口可疼,000230
153,换副金镯子,000228
154,本学姐告诉你我们面试就是老师唠嗑，完全没有这么紧张,000232
155,新冠才三级，埃博拉四级,000223
156,不高？,000223
157,感觉好疼,000213
158,已经开始紧张了,000232
159,很有老师气场,000218
160,花季要护航☆傲娇绿坝娘,000235
161,那没事了,000234
162,这个下架了,000235
163,这个看起来有点像越狱兔,000230
164,Pinterest,000235
165,大 失 所 望,000213
166,家里有澳柯玛冰箱,000223
167,饺子里面不是有肉吗？,000229
168,18？,000218
169,尴尬的我看不下去了,000214
170,这个好用,000235
171,姐姐比郑爽漂亮多了,000221
172,比正爽好看多了,000221
173,哈哈哈哈哈,000214
174,哈哈哈哈,000218
175,绝,000229
176,一眼假,000217
177,耳蜗,000231
178,沧州人？,000220
179,？,000231
180,这就是为啥我从来不吃生食，任何生的食物我都不吃,000230
181,拜拜走了,000235
182,理象国太好吃了,000229
183,文科也要推导的（哭泣）,000227
184,UP的声音好好听啊,000227
185,求导公式都背一遍,000218
186,来一份速冻德州,000229
187,开幕雷击,000213
188,饺子里面有肉哟,000229
189,这……,000216
190,这口音.....,000232
191,告辞,000235
192,哈哈哈哈哈哈哈哈,000214
193,约定的梦幻岛,000221
194,巧克力豆,000220
195,1,000214
196,少了亚马逊原始森林的树木,000229
