,弹幕,vid
0,蔡经理:你在说我？,000354
1,你当那一千万不存在，银行就敢当你不存在！,000363
2,注入灵魂,000359
3,注入灵魂,000359
4,我想问，房子都一样么？鹤岗100平房子抵的过上海10平的房子么,000366
5,导电度,000355
6,？？？？？？？？？？？？？？？？,000357
7,哈哈哈哈大家去看山海情！！,000370
8,银行才是放,000369
9,听不懂，请明示,000357
10,虽然但是 其实我觉得这样算算得放心,000365
11,您 搁 这 玩 三 体 呢 ? [狗 头],000371
12,我练韩文听力也这么做，不用一个月，十天就能感受到不一样,000362
13,通胀了,000366
14,注入灵魂,000359
15,1111,000358
16,那A一开始的房子是从哪来的呢？,000366
17,曲扬呢,000354
18,好了 看到这里 我走了。。,000362
19,鸟好，削削,000364
20,不存在最好,000354
21,1,000367
22,《普 通》,000353
23,我已经试过了，没有用秒发的,000357
24,十几年利率更高工作更辛苦，现在随便干个外卖工资都比我以前工资高,000366
25,标准英语,000364
26,牛,000358
27,@小瑜哥,000354
28,水蒸气污染空气我笑了,000372
29,我帮我朋友看着,000357
30,这题就是脱裤子放屁,000365
31,好爽,000368
32,枣蟹可还行,000357
33,30的也是人才，重读九年义务教育,000354
34,真理就是常识，复杂的问题简单化,000354
35,有点道理，但是现在房价一致看多,000366
36,不要结婚,000353
37,草,000371
38,我觉得说的很对，但是这都是不可能的,000363
39,真实,000367
40,Chinese traditional哈哈哈哈,000364
41,大学时候随便吃，工作以后随便长,000353
42,直接半角公式啊八嘎,000365
43,1,000367
44,他懂个鬼，不知道在教啥，基金是短线？？,000354
45,牙卡马西！,000368
46,传销……,000366
47,啊！shake it！,000368
48,1111,000367
49,前面的 珠 张 刘 那三个我都买了,000354
50,压力大了容易过劳肥,000353
51,很简单,000365
52,并不是，按照这种情况下，四维空间只能观测到某个人做某个选项之后的景象。，五维空间则是可以观测到某个人做不同选项之后的景象。，六维空间则是直接可以选择。,000360
53,我思考我去出家行吗？,000357
54,草,000371
55,鱼线无敌,000355
56,离谱,000360
57,传销，哈哈哈,000366
58,你开枪啊,000372
59,专业,000357
60,二套房全款买，新购入房产10年不许交易,000369
61,传销,000366
62,我帮我朋友看的,000357
63,圆割法,000365
64,真就初中方法,000365
65,怕高都是苦命人,000354
66,你被竹节虫了！,000371
67,八嘎,000368
68,哺乳期男性可以用吗,000358
69,听不懂,000357
70,我去，同款勺子,000359
71,卧槽,000359
72,初中化学,000355
73,你懂个屁,000354
74,你再骂,000368
75,受累按下shift键,000372
76,三胎开放,000366
77,这不比博人传燃？,000362
78,这根线真是累了,000355
79,这用的是天正？,000356
80,1,000358
81,SCP-087,000360
82,八嘎！,000368
83,猝不及防,000359
84,11111111,000367
85,就是信贷啊，实际没那么多钱，都是贷款,000369
86,他？,000364
87,121212,000358
88,BaSo4就是个例子,000355
89,阿呆か,000368
90,不专业,000354
91,1,000367
92,庞氏的味道,000366
93,以为是薛之谦,000363
94,是我啦,000367
95,说得好，年轻人不错,000354
96,1,000358
97,吐了。刚去医院看了，医生在知道我用阿达帕林的情况下给我开了班赛，还没和我说俩者不能一起用,000358
98,寂静岭2bgm？,000369
99,up主好帅,000355
100,大型麻花，隔壁小孩儿都馋哭了  doge,000359
101,但是货币会贬值,000366
102,开始训练,000357
103,特好用但是是处方药,000358
104,钱可千万不能升值啊,000369
105,我靠，我的秘密方法啊，我在做的时候都是倒背九九乘法表，哈哈哈,000357
106,可以做出来啊,000360
107,？？？？？？？？,000357
108,尼玛真形象,000370
109,去掉中文就完美了,000368
110,理财产品,000369
111,3,000358
112,BGM把我炸出来了,000369
113,我觉得房价还是太便宜，，，，应该100W一平米,000369
114,3个月高考还有救吗,000367
115,哈哈哈哈哈哈哈哈哈哈哈哈哈,000368
116,买了自己住，不炒房你这模型就不成立,000366
117,施法材料违法……,000357
118,maya耶,000360
119,为啥不用半角公式？,000365
120,注入灵魂,000359
121,注入灵魂,000359
122,注入灵魂,000359
123,我不知道,000353
124,pe是啥,000354
125,说白了就是发的钱去其他地方太难了，去房地产最简单是条捷径。,000369
126,注入灵魂,000359
127,底  层,000353
128,看封面就知道了笑死,000371
129,给夫西地酸打call,000358
130,诶,000368
131,精辟,000366
132,rarely,000364
133,你的眼睛怎么了,000354
134,普通瓶子：我也可以,000360
135,注入灵魂,000359
136,感觉看起来不匀称,000359
137,我的静静,000362
138,up 别理杠精，做自己就好,000354
139,注入灵魂,000359
140,我都把营销号当文盲,000360
141,下车吐了,000367
142,粤语区很容易语言石化,000364
143,！！！！,000355
144,3,000358
145,注入灵魂,000359
146,好方,000354
147,我都能听懂了，还用提高？？？,000362
148,真实,000367
149,为什么不用面积呢,000365
150,你的包菜被盯上了,000359
151,11111,000367
152,如果要是那种六分钟左右的新闻应该还不止。,000362
153,打乱阵行,000359
154,张艺谋他哈哈哈,000364
155,哈哈哈哈哈哈哈哈哈,000357
156,不看了我喝可乐去了,000358
157,替舍长看看,000357
158,1111111,000367
159,存银行,000363
160,帮朋友看看,000357
161,听你说英语感觉怪怪的,000364
162,在三维空间的投影,000360
163,三 羊 开 泰,000371
164,眼睛咋的了？,000366
165,二狗总是聪明外漏!,000354
166,6666,000367
167,对啊，吃咸菜也不等于造雷劈啊,000355
168,1,000367
169,这位马赛克一本正经的胡说八道,000355
170,哈哈哈哈哈,000358
171,惊寒假结束了才看到,000362
172,本科公司金融BB这么久,000366
173,包括二维！二维你们也不会发现也不会理解,000360
174,离子强度,000355
175,锋利V,000357
176,好家伙，在线被骂,000368
177,三维立体混元劲,000360
178,六级不考听力,000362
179,芜湖,000355
180,哈哈哈,000357
181, 易方达蓝筹  兴全合润 富国天惠 睿远成长 中欧新蓝筹,000354
182,小白就别玩基金了,000354
183,我喜欢我想买不便宜吧,000372
184,我这样做过 真的只要一小时不到,000362
185,房价不跌到白菜价,000369
186,1,000367
187,高中学生笑了,000355
188,哈哈哈哈,000358
189,我不信！你凭什么证明你（,000357
190,谁又不是在赌，无非是长短，大小，多少的问题,000354
191,人家不会止盈么,000354
192,笑死,000370
193,易方达中小盘也不错，同一个经理,000354
194,Get IndiHomed LOL,000371
195,注入灵魂,000359
196,才疏学浅=麻衣学姐,000359
197,11111111,000367
198,一 转 攻 势,000371
199,因为说白话平常都是平舌音,000364
200,生二胎呗,000366
201,注意身体,000353
202,我帮朋友看,000357
203,时代变了,000354
204,哈哈哈哈,000370
205,应该用内外接正方形去夹,000365
206,11111,000367
207,给个指纹,000372
208,ばかでいらっしゃいますか,000368
209,路人：不愧是才浅，不到一个月就做到了我们一辈子做不到的事情！！！,000359
210,1,000358
211,33333,000358
212,HUAWEIP40,000359
213,高一化学,000355
214,摸懂了什么题我不会,000367
215,不了解为什么这些把人当煞笔的视频会变成热门,000355
216,石家庄ren路过,000372
