,弹幕,vid
0,我家怎么就成了公共场所？,000340
1,我马上去买两盒好丽友支持一下,000327
2,真实,000324
3,有道理2333333,000345
4,淚腺而已，怕個毛,000335
5,呱呱,000329
6,浏览器，搜索引擎,000329
7,原来如此,000335
8,耶,000351
9,收藏也就是离谱,000330
10,新高考怎么办啊,000324
11,好牛,000327
12,怎感觉哪里不对又说不上来,000340
13,我也是,000324
14,哈哈,000327
15,呜呼,000336
16,益禾堂,000332
17,老虎啤酒是新加坡国民品牌,000327
18,唉,000350
19,呱,000329
20,可比克难吃,000327
21,呱,000329
22,适合自己的就是最好的,000350
23,支线这个比喻好恰当,000350
24,她会不会自杀啊以后。。。。感觉她心理不太好了,000337
25,我觉得挺好的啊,000328
26,……,000351
27,我想要,000335
28,up都这么理智的分析委婉的措辞专业的表达，还有人说洗的话，那脑子真是瓦特了,000337
29,八格牙路,000345
30,我说我困得时候为什么她这么精神,000342
31,和小孩儿………。资金出问题了，这不是影响下一代了,000334
32,合适得不得了,000340
33,就不能给第一人称视角吗,000326
34,模拟吧,000328
35,妖魔鬼怪快离开,000325
36,他自己撞在拳头上的，我看得一清二楚！这记者碰瓷！,000331
37,福建山寨策略背后,000327
38,胡桃是小舞配音,000343
39,可愛い かわいい,000345
40,哈哈哈哈,000332
41,收藏比点赞多，离谱,000330
42,又一个降维打击的up,000336
43,要的是大鱼，小虾米人家不感兴趣的,000328
44,啊耿被秒的渣都没了。。。,000336
45,大快人心,000331
46,跟莆田系的行为如出一辙,000327
47,同一性早闭,000337
48,到报,000329
49,哈哈哈也没毛病,000327
50,黑白熊：这个我擅长,000345
51,这份工作的工资不比上家高，还换什么工作,000347
52,不好吃啊,000327
53,果断关注,000336
54,我女儿泪腺不通探通过，应该就是这个孔,000335
55,我擅长的东西就会以为自己喜欢,000350
56,《笑得满脸都是牙齿》,000335
57,搞钱,000350
58,488,000328
59,我才知道可比克是达利园的,000327
60,姐姐，您看我还有机会吗？,000351
61,卧槽,000336
62,我没有诶。,000335
63,我妈很可怕,000337
64,妖魔鬼怪快离开,000325
65,户撒跟那）,000345
66,练出来就好了，没有不会喝就是喝的少,000352
67,自己动手，丰衣足食,000351
68,正义执行,000331
69,好耶！,000351
70,？,000330
71,好家伙 这收藏数,000330
72,这个标准好像我交呀,000336
73,酸的？,000351
74,才浅出来对线,000336
75,洗马达！,000345
76,正当防卫啊,000340
77,?,000335
78,只要车够小就可以过去，还有就是这是车祸模拟器吧,000326
79,呱,000329
80,真实,000350
81,八嘎牙路,000345
82,我因为这个东西还去过医院。。。。。。,000335
83,焊痕这么清楚,000348
84,练字类题目？,000324
85,请你吃饭,000331
86,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,000348
87,擦,000338
88,あまい,000345
89,我们所在的社会，只不过是为了社会地位的一场低俗的斗争，请感受内心的需要,000350
90,这个疯女人,000337
91,妖魔鬼怪快离开,000325
92,它的柠檬水真的很好喝,000332
93,？？？？？？？？,000350
94,五姑娘不会输,000351
95,报道,000329
96,哈哈哈,000348
97,合适的不得聊,000340
98,就喜欢看盘面展示,000328
99,QQ农场,000340
100,正道的光,000331
101,哇这个新皮肤好好看啊,000351
102,哈哈哈哈哈哈哈哈哈哈哈,000332
103,呱,000329
104,私密马赛,000345
105,欢迎,000336
106,？,000327
107,对啊，我也很喜欢老师的声音,000344
108,三星堆3000多年的历史，你还搁这祖传的,000348
109,老公，你看我刷到了什么,000330
110,默默三连,000329
111,不清楚？,000331
112,真实,000324
113,啪了不健康的风险才会变大,000351
114,有病吧，女儿辛辛苦苦自己打拼的路，你要叫现成的，嫉妒自己女儿,000337
115,我高中语文70是什么段位的。。,000324
116,coco不香吗,000332
117,呱,000329
118,？？？？？？？,000351
119,宜家一元,000332
120,卧槽,000328
121,试试破釜沉舟,000350
122,hhhhhh,000343
123,梅开二度,000340
124,哪来的,000351
125,妖魔鬼怪快离开,000325
126,说真的，我最先见到的其实是和其正。,000327
127,收音是不是有点问题？,000340
128,人话？,000350
129,放心了，我走了,000351
130,才14岁,000337
131,登峰造极境！！！！,000336
132,我只有左手有,000335
133,呱,000329
134,我是第一个关注的，现在我是老粉了,000336
135,真的爱他,000332
136,天才少女憨包包,000343
137,她妈疯了吧,000337
138,让我来,000350
139,卧槽,000343
140,我也会,000335
141,说得是嘛  说得是嘛,000345
142,口托哇路,000345
143,欧拉欧拉欧拉欧拉欧拉,000345
144,真实,000324
145,ez,000326
146,我去,000338
147,？,000351
148,真实,000324
149,我们这里的县城，夏天蜜雪冰城买冰淇淋的人爆满,000332
150,我觉得作者不是凡尔赛，走了太久大概真的会有这种感觉,000350
151,单身二十二年不知道该说什么，长期是四十年这种期限吗？,000351
152,啊这我一直以为配音演员唱歌都是天才,000343
153,还真有人信了...,000328
154,原生家庭的悲剧,000337
155,这就是天赋了，没办法,000349
156,法律界纲哥,000340
157,好的我死了,000343
158,估计不是经管就是贵系大佬,000350
159,牛逼,000349
160,直接买,000328
161,语文的错题本????太强了,000324
162,到报,000329
163,看看就好了 大涨三天 谁都赚钱 军工都6个点了,000328
164,我一口咬定他是来杀我的怎么办,000340
165,手工艮遇到对手了,000336
166,吓到我了,000335
167,懂了，比公务员高,000343
168,迁移到自己喜欢的地方吧,000350
169,原来是你,000336
170,正道的光,000331
171,就是那些自己最悲惨的想法呀，迫使实锤之后她们一家都认为是我们造就了郑爽的悲惨。就是我们对待弃养这个态度上，造成了郑爽当下的悲惨。所以她们才会持续指责外部,000337
172,小时候我记得只有可比克，没见过乐事,000327
173,必须点赞,000337
174,报道,000329
175,呱,000329
176,暗  示  三  连,000326
177,三星堆,000348
178,恶魔,000326
179,他说他来偷东西，其实他是来杀人的呢？,000340
180,争取死刑,000348
181,逃税的,000334
182,40,000332
183,孤寡,000329
184,喵酱我是你的史丹啊,000343
185,每时每刻都想,000342
186,波特五力分析,000332
187,救命啊,000351
188,可比克绿色永远的神,000327
189,我没志气淦,000337
190,庐  山  升  龙  霸,000340
191,番茄酱,000331
192,好的，母单28年放心了,000351
193,真实,000324
194,线上我勇敢对线，线下我重拳出击!,000331
195,wind,000329
196,来上海买房,000328
197,化学物理没关系，生物学有关系，因为会打破人类与微生物的平衡，有害,000351
198,磨剪子嘞，戗菜刀～,000336
199,真的更不行,000348
200,量力而为,000352
201,哈哈哈哈哈哈,000351
202,说到马老师我就笑得不困了,000343
203,好家伙哈哈哈哈哈哈哈哈哈哈,000351
204,妖魔鬼怪快离开,000325
205,我发自内心的佩服你，up加油,000350
206,大耳朵图图诚不欺我,000335
207,我的数学极差无比,000343
208,卧槽牛逼,000338
209,わたしも！,000345
210,可可爱爱,000332
211,发红包吧哈哈,000328
212,B5吧,000324
213,太好了,000351
214,哒咩，哒咩哟,000345
215,你怎么知道浏览量的,000342
216,这不止防盗，还防主,000340
217,？,000335
218,手工耿只能当侍郎了,000336
219,好丽友好朋友,000327
220,公共？？？,000340
221,woc,000336
222,Boke,000345
223,耶,000351
224,背景图的上臂比例。。。,000350
225,多学习才艺是好的，尽力就行，这太丧心病狂了，孩子那么小又不是圣人,000337
226,我没有,000335
227,到站的乘客请从前门下车,000326
228,职业选手,000336
229,好耶,000351
230,我只能偶尔诶,000335
231,都是炎黄子孙,000348
232,哈哈哈哈，好感动咋回事,000332
233,火箭掌,000336
234,青梅绿茶，yyds,000327
235,“目前相关研究较少”，这话听着很耳熟,000329
236,赵薇好吃点好吃你就对吃点,000327
237,呱,000329
238,杨康：毒还特么是我放的,000340
239,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,000351
240,清华就凭一个最字，框住了多少有梦想的人。,000350
241,加多宝,000327
242,正义人！,000331
243,兵部尚书,000336
244,優しくしてね,000345
245,终于来了 ,000336
246,必须滴,000351
247,三星堆日,000348
248,他杀人了。,000335
249,黄山这四线小城市都好几家,000332
250,想夸夸，声音好听,000350
251,呱,000329
252,又扯性别，我何德何能看到这样的视频,000339
253,瞎扯淡，啥剧情,000339
254,啊第一个真的,000324
255,疯子,000337
256,adobe acrobat dc,000333
257,张衡：老子是汉赋四大家之一，还发明过地震仪，那个男的和我没关系,000337
258,感觉学语文浪费时间,000324
259,你的名字是国外一小哥,000336
260,那你建堵墙不就得了,000326
261,如收藏夹里吃灰吧,000344
262,来了来了,000351
263,合模线都没打磨干净,000348
264,还能选清晰度就TM离谱,000330
265,潭州教育之前我听过那什么UI设计课，就让人贷款,000343
266,这个应当有救助义务吧,000340
267,成就。。。。,000337
268,说得好,000337
269,我会,000335
270,本金赚的罢了,000328
271,呱,000329
272,我喜欢长发小姐姐,000351
273,哎嘿,000351
274,ki mo ji,000345
275,哈哈哈哈有这个功能的人都是蛇的后裔,000335
276,正道的光,000340
