,弹幕,vid
0,哈哈哈哈哈,000393
1,应该能做,000395
2,慕了,000399
3,，，，，，，，，，，，，，，，，，，，，，，，，，，,000397
4,《“有点偏”高》,000395
5,对吧。。这个对吧,000399
6,ohhhhhhhhhhhh,000396
7,监控,000394
8,夫西地酸真的超好用的！！,000394
9,赋值法不行吗,000395
10,那如果乘客看见司机捡了呢,000398
11,对不起 我不吃了 我去运动！,000396
12,有内味,000399
13,反复观看,000393
14,哈哈哈哈,000398
15,trojan,000394
16,完全平方公式,000395
17,怒气，志气，,000399
18,烦恼,000399
19,对,000399
20,？,000396
21,啊这真的不是配音啊,000399
22,我全都要,000394
23,卧槽卧槽,000396
24,下载一个软件就好了,000397
25,普车之下，莫非王土,000398
26,有,000398
27,东华哪里？,000393
28,当广播听，看画面出戏,000399
29,懂了，这就去当麻匪,000398
30,二硫化硒那味道过于上头,000394
31,我可以！！！！！,000396
32,对的啊,000393
33,有,000398
34,大爷看得真明白,000399
35,茅塞顿开,000399
36,我傻了,000395
37,第一次听科普是让人为了变美去做手术的,000396
38,*,000396
39,谢谢老师,000398
40,还是边吃点吧,000396
41,张三哪里去了？？,000398
42,谢谢告辞了害怕,000396
43,侏儒偏不……,000399
44,很懂我们,000399
45,人家是长大了才来中国的，不是土生土长的，不过心比在座的90％赤诚,000399
46,？？？？？？？？,000396
47,原来我们是美国啊,000399
48,偷,000398
49,c吗,000395
50,龙哥威武 ,000393
51,哈哈哈哈哈,000395
52,出租车有占有权,000398
53,easy,000395
54,还好已经上大学了,000395
55,偏颇?哪处偏颇?误人子弟?哪处误人子弟?只推不立非君子，讽而不教亦小人,000399
56,还有人买中国灵车 ？,000393
57,张三仅是我自己,000398
58,好家伙，教育落后地区人民可算见识了什么叫竞赛题,000395
59,扫出一只蟑螂,000398
60,感觉配音一样哈哈,000399
61,重点:近半年,000396
62,嗯我再看一遍,000395
63,把稀泥这一和,000398
64,全部梭哈了,000393
65,啊～好爽。。。,000394
66,可怕,000396
67,血包很重要,000398
68,我觉得有点吓人，但还是有效果的，坚定不移锻炼减肥不做手术,000396
69,认真摸鱼,000399
70,前面的，大到x对y有限制，大到y只跟w有关系,000395
71,监控,000394
72,老师好,000398
73,太接地气了,000399
74,我还是去锻炼吧,000396
75,他妈妈好像有共和国勋章de，已经一百多岁了,000399
76,利多卡因过敏,000396
77,我还是好好锻炼去吧,000396
78,普通话说的比我溜,000399
79,老师好,000398
80,老师没收手机这,000398
81,老百京了，地道,000399
82,张三晶石我自己,000398
83,纯正,000399
84,还是踏踏实实减肥吧,000396
85,我勒个去,000396
86,张三出国了，于是我们有了三国,000398
87,好！,000399
