,弹幕,vid
0,背得比我念诗还熟,000543
1,都是党的干部，就不能调和一下,000556
2,噗哈哈哈哈哈哈 雷神名场面,000562
3,输得总比赢得多,000543
4,我天,000544
5,致敬,000548
6,我知道，每分钟都要死几百次,000555
7,600,000558
8,我tm干他丫的,000556
9,抢了就跑,000543
10,余烬副本限定,000564
11,还在鞭尸,000555
12,好可爱！！！！！,000534
13,1,000535
14,你这话说的，你的老板还指着你换车换房呢！,000539
15,卧槽这么勇,000549
16,A股算吗,000543
17,用跑腿送文件，跟正局长出去,000556
18,越漂亮越完整的“你” 价格就越高,000544
19,真实！,000535
20,刚刚看完一个死刑的过来！,000547
21,也许不够,000563
22,草哈哈哈哈哈哈,000534
23,值钱啊,000544
24,河南人,000550
25,形容你爹我牺牲上路优势下来帮你时的心情,000555
26,哈哈哈哈哈哈,000554
27,至少1.5,000545
28,真会自己说，还极品,000547
29,哈哈哈哈哈哈哈哈哈哈哈哈哈,000534
30,？,000541
31,工作这么弄这辈子升不上去,000556
32,可怕播放量,000562
33,哈哈哈哈哈哈,000554
34,你累死公司会赔命吗？,000539
35,色区,000553
36,是不是忽略了动物园植物园花鸟市场饭店烧烤摊的鸟,000561
37,好可爱,000534
38,别哭别哭,000539
39,原来我是颜性恋,000538
40,20克,000544
41,吐吐管,000549
42,哇,000535
43,你用胃镜还要打麻药吧，感这么玩，小心食物进气管,000549
44,别骂了,000535
45,损坏文物,000547
46,啊啊啊啊,000543
47,我们一般用两个字形容这种人 土块,000543
48,预定岳伦名场面，懂得都懂,000555
49,天霸横空烈轰！,000555
50,撅了,000534
51,上海财经大学,000558
52,620,000558
53,别骂了,000535
54,哈哈“哈哈哈哈哈哈哈,000554
55,克隆是一种技术，是可能失败的,000544
56,抱抱,000539
57,我们是手气最佳发,000543
58,直接领导:你自己看着办,000556
59,像这种企业乘早走人，蛇点,000539
60,哈哈哈哈哈,000554
61,黄赌毒远离毒赌,000543
62,口意,000549
63,一看就假,000554
64,大杀四方!,000555
65,估计很多人还是学生 没出来社会 不懂这些,000540
66,完美斩杀,000555
67,狐臭,000563
68,啊啊啊！,000538
69,还让活不,000546
70,人骨有什么用啊？,000544
71,有胃病表示有时候想吐是真的难受而且清理还麻烦,000549
72,古惑仔？,000563
73,没必要，多运动比什么都强,000549
74,艾欧尼亚人啊,000555
75,别买，对身体不好,000553
76,这张是lor亚索,000555
77,冰冰姐姐！,000535
78,哭了,000539
79,致敬！,000548
80,？？？？？？？？？？？？？？,000543
81,你甩锅第一,000556
82,“真正出于纯粹利他主义的志愿者，是十分罕见的。”——卡尼,000544
83,别骂了,000535
84,气死了,000547
85,还有与黄也不共戴天呀！,000543
86,黑帮教父,000563
87,哈哈哈哈哈哈,000554
88,抱抱,000539
89,牛逼卧槽,000549
90,通过三块自信水晶获得！,000564
91,原皮,000564
92,值钱,000544
93,主要没脑子,000549
94,重大,000539
95,牛逼啊啊啊啊啊啊啊！,000535
96,哈哈哈哈哈哈哈哈,000534
97,简称虾仁猪心,000555
98,鉴 宝 转 包,000547
99,大四位数，小五位数,000547
100,姐姐我可以，给个姬会吧,000538
101,实际中根本用不上,000556
102,500,000558
103,跟我朋友，两个大男的也经常睡一起啊 有什么奇怪嘛,000562
104,台服帅啊这波,000563
105,致敬,000548
106,让我来,000539
107,没喝水，吃了两年饭,000554
108,破伤风打击,000545
109,嗨老公！,000538
110,不能存在一个银行 ,000551
111,北大考古系,000558
112,别是一千欧元吧,000550
113,重大没跑了哈哈哈哈,000539
114,种蘑菇,000555
115,哦，这个我知道,000562
116,咕噜咕噜～,000534
117,？,000534
118,1,000535
119,我可以啊姐姐,000538
120,还有这种玩法,000543
121,字体都是现代的,000554
122,乌兹乌兹,000542
123,太真实了,000553
124,妙啊,000552
125,又鞭尸岳仑？？？？,000555
126,张三竟是我自己,000543
127,太细了,000555
128,杰哥不要啊,000541
129,520,000558
130,2,000557
131,洛阳铲,000550
132,扯犊子,000561
133,财务自由,000551
134,啊啊啊?有一种偷别人话的感觉虽然但是…,000535
135,我写不出来,000535
136,490,000558
137,爆丸小子,000537
138,川大医学部,000558
139,但凡换个bgm我就看到最后了,000553
140,木偶排面,000542
141,他们甚至愿意冒着这么大的风险减肥也不愿意通过锻炼和适当节食来减肥，简直了,000549
142,好可怕,000544
143,所以我现在只想找一个周末双休五险一金轻松的工作……摸鱼养老,000539
144,真的牛逼,000555
145,社保别断,000539
146,乌鸦坐飞机,000563
147,抗压,000558
148,呼吸哥,000555
149,月球好看！,000564
150,实力,000558
151,550,000558
152,前面的，知道这些道理至少可以让你不会过得很差很差,000543
153,？,000544
154,一样的领导,000539
155,实在不简单♂,000542
156,笑死了,000560
157,副本出货了对吧？哪个深渊出的？,000545
158,吞     剑,000549
159,凯隐台服被动：冥血罪镰,000563
160,吴亦凡的五把武器，名字绝了,000555
161,球球大作战,000564
162,6070的糟粕玩意儿,000540
163,美国不同地方也有不同的口音，和塑料普通话一样,000534
164,致敬,000548
165,扯尼玛蛋！,000561
166,知道了吧，咨询公司都是些骗子。,000561
167,上海根本没鸟窝,000561
168,菩萨保佑,000547
169,640,000558
170,龟龟,000549
171,哈哈哈哈哈哈哈哈哈哈哈哈,000534
172,致敬,000548
173,小红应该吃桃子,000549
174,哈哈哈哈哈,000534
175,想得挺美,000539
176,我决定了，我也要当这个老师的学生,000534
177,一步到胃,000549
178,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,000534
179,哈哈哈哈哈哈,000534
180,上海外国语学院,000558
181,也不一定有可能是你绿了（）,000562
182,以前德翻译还有模有样.现在就是厕纸一张,000555
183,惊现mg,000562
184,永远的神,000542
185,QQ会员,000564
186,这波还是台服六,000563
187,？？？？,000544
188,你他喵的算过通胀么？,000546
189,想一想你们为什么会点开这个视频,000541
190,不聊了,000550
191,谢谢老师 新年快乐,000543
192,全体起立！,000563
193,致敬,000548
194,园长！,000542
195,你好帅啊,000534
196,别骂了别骂了,000535
197,别骂了别骂了别骂了别骂了别骂了,000535
198,500,000558
199,姐姐给个姬会！,000538
200,别骂了,000535
201,如果让你重新来过你会不会爱我,000555
202,脑子真的有点问题...,000549
203,1,000561
204,？？？我怀疑你在甩锅,000556
205,好疼,000549
206,致敬,000548
207,致敬,000548
208,马老师再次乱入,000563
209,稀碎,000554
210,我与赌毒不共戴天,000543
211,这样回答死定了,000556
212,东北师范！！,000558
213,好家伙,000535
214,我的妈一样一样的，每年医药费都一堆,000539
215,那你就凉了直接GG,000556
216,我就爱看这种，真的多没意思啊,000554
217,？？？？？？？？？？,000549
218,可怕,000544
219,2,000557
220,哈哈哈哈哈哈哈,000534
221,福建医科大学！！！,000558
222,我与赌毒不共戴天,000543
223,手艺活为什么戒掉？,000541
224,外语外贸,000558
225,斩钢闪,000555
226,1,000557
227,致敬,000548
228,1,000535
229,致敬,000548
230,张三竟是我自己,000543
231,感谢罗老师,000543
232,天啊,000544
233,太热乎了,000554
234,有的，在上海一个人打拼很累,000539
235,有朋友系列,000541
236,洛安特大剑,000545
237,种 蘑 菇,000555
238,我有一个朋友。。。,000541
239,暴风大剑,000555
240,妙啊,000535
241,抢完一个就跑,000543
242,摸多了不长个,000554
243,黄你们是只字不提啊！,000543
244,天天量刑,000545
245,老公o(≧v≦)o,000538
246,值钱,000544
247,经典皮肤,000564
248,致敬,000548
249,我才不在乎他个屁领导,000540
250,感觉要窒息了,000564
251,姐姐！！！,000538
252,阔怕,000549
253,哈哈哈哈哈哈哈哈哈哈哈哈,000552
254,过年刚玩,000543
255,哈哈哈哈哈哈哈哈哈哈哈,000534
256,这个不错确实,000563
257,老公,000538
258,致敬,000548
259,牛逼,000535
260,已经被抓了,000547
261,哈哈哈哈哈哈哈,000535
262,gala,000555
263,那仙女棒呢,000549
264,ohhhhhhhhhhh,000555
265,650,000558
266,说的是啥？,000535
267,突然get到他的帅,000534
268,卧槽，狠啊,000549
269,候鸟不用算？,000561
270,值钱,000544
271,1,000535
272,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,000554
273,三日同辉,000564
274,设计院7年，现在辞职了，一身病,000539
275,致敬英雄,000548
276,大荒星陨！！！！！,000555
277,最简单的办法切了就好了,000541
