,弹幕,vid
0,小时候经常见，好像还捉过,000230
1,。。。。。。。说漏嘴了,000217
2,没错，都是学霸的诡计！,000227
3,哈哈哈哈哈哈哈哈哈哈哈哈哈哈,000214
4,北京大学中国语言文学系,000216
5,告辞！！！,000235
6,啊这,000235
7,中国海洋大学！,000216
8,劝退视频？,000232
9,111,000214
10,假大空,000232
11,拜拜,000235
12,我表示今天和明天期末,000227
13,那没事了,000234
14,下辈子见,000226
15,浙大,000216
16,再补一条，蜻蜓腹部比豆娘粗,000230
17,好像啊,000213
18,我也想去上交,000216
19,因为疫情我们不考了,000227
20,待会洗完之后发现还有红色的东西渗出来就好玩了哈哈,000213
21,结果答案是“题拍拍”提供的,000227
22,别刷液氮了 液氮的成本高的多,000223
23,哈哈哈哈哈,000220
24,害怕,000218
25,碑都抗家里了,000217
26,前面的，错题本不是没有特殊化,000216
27,华南师范大学！！,000216
28,卧槽，就这？,000232
29,职业等级压制,000218
30,相机这是刀能切开的吗,000231
31,...吓得我差点拿不住手机,000214
32,备考哪有时间读书,000232
33,我规划好了能让上吗,000232
34,哈哈哈哈哈哈哈哈,000217
35,夸克…,000227
36,我*,000230
37,上一个19年了,000226
38,真的和老师吵了两节课噗,000224
39,听着bgm就裂开,000230
40,硕士毕业了，再继续博士,000216
41,他们会记得是谁帮他们做出来的吗？,000223
42,清华！！！！,000216
43,没你漂亮,000221
44,怎么知道是前辈的,000233
45,vivo应用市场下载后都加载不出图片（草）,000235
46,不能吃肉啊,000229
47,卧槽,000230
48,666,000231
49,学习让我很快乐考试排名让我真的就抑郁直接抑郁,000227
50,标题党举报了啊,000235
51,再见,000235
52,小猴搜题,000227
53,不要放盐，会让牟取暴利，不要放肉，会让动物无家可归,000229
54,好美,000218
55,文科生拜拜了,000213
56,可端正,000218
57,我好想吃猪肉饺子，牛肉饺子，马蹄饺子，羊肉饺子，虾仁饺子怎么办,000229
58,1,000214
59,《找》,000228
60,那没事了，走了,000235
61,现在盗墓的都这么猖狂了吗？,000217
62,冷藏箱放冰块啊,000223
63,吵了三节课,000224
64,代入感很强，耳朵开始隐隐坐痛了,000218
65,害怕、,000218
66,缺德,000217
67,榨取剩余价值,000227
68,？,000223
69,噫 我要吐了,000214
70,电视剧名称在右下角,000214
71,确实合法哈哈哈哈哈哈哈哈,000226
72,看不懂文章。。。。。怎么办,000224
73,北京四中,000216
74,一定要成功,000227
75,双标居然是我们大家,000234
76,的辛亏它致死率高，感染率才低,000223
77,燕尾服,000230
78,未来还会用的上的 社会价值会带来商业价值,000223
79,严谨（长+宽）*2,000218
80,我赶紧看了看我的手,000213
81,健康只有一次，高考可以重来！！！,000227
82,我见过狠的人，还是第一次见这么狠的人,000213
83,这里秋怡好漂亮哈哈哈,000214
84,文科生路过,000213
85,导师 我想考博,000232
86,不愧是我山东大汉,000220
87,同款桌面,000235
88,这是储存温度打入人体前要恢复常温,000223
89,四十五分钟喔,000224
90,原来如此,000229
91,船板凳,000230
92,猝不及防,000227
93,小时候回老家，在河里头用网捞,000230
94,挺好的,000232
95,这玩意会飞,000230
96,恶心,000214
97,黑大,000232
98,这不是废话？,000227
99,清华,000216
100,剃头匠,000230
101,中国人为什么要吃面粉？,000229
102,这个妆好看,000221
103,不许吃肉饺子和韭菜鸡蛋饺子，也不许放国营企业的盐,000229
