,弹幕,vid
0,最高(だ),000029
1,狗溜它吧,000045
2,一群小学生,000049
3,还是太多了,000052
4,我也想跑但是美沙滩所以不跑了,000035
5,看怎么做福建人,000047
6,就离普,000063
7,放屁的话,000052
8,hhhhh,000061
9,武♂器,000046
10,刷这么多角速度线速度干嘛？这里的问题不就是他们之间的悖论吗？问题回答问题？,000056
11,开玩笑的吧。。。,000061
12,就是理想怪很多,000055
13,锦欣生殖,000043
14,666,000032
15,牛牛,000036
16,伏拉夫说：不管我的事,000045
17,小丑竟是我自己,000060
18,好,000062
19,欧哈哟,000029
20,羊呢？,000030
21,大米里有一群象！,000036
22,要来了,000033
23,2222,000051
24,1065,000054
25,教练还不开始骂人?,000054
26,66666666,000056
27,《正经》,000063
28,好奇怪→_→,000056
29,怪不得大米香，原来加肉了,000036
30,いいの,000029
31,上什么天堂?撒旦看了它都恶心,000062
32,集合,000051
33,《理解》,000033
34,祝你不得好死,000062
35,加油啊,000037
36,都是通辽人为何你这么突出,000031
37,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊狂喜,000055
38,埃姆,000032
39,芊芊马克龙,000060
40,入刑,000043
41,可以充电支持up主啊！,000037
42,哈哈哈哈,000047
43,安全带,000049
44,我给外甥买了显微镜之后 他三天都没有吃饭了,000036
45,确实好用，哈哈哈,000040
46,感情不能当作利益啊,000038
47,鸭子加油！！！,000046
48,加油温柔！！我们永远支持你！！,000037
49,买过好多条，真的不贵,000040
50,你这瓜保熟么,000043
51,愛してるよ,000029
52,哈哈哈哈哈哈,000047
53,长是因为这是给公司用的吧 得介绍清楚,000060
54,真少,000051
55,所以我们被收割了,000052
56,2,000051
57,啊啊啊啊啊啊啊,000055
58,2,000051
59,怎么就不洁身自爱了，捡尸这种事不应该怪那个男的贱吗,000053
60,ざこ,000029
61,玛德，杂碎,000045
62,三连了！,000037
63,我和我妈姓,000046
64,弔图一堆,000033
65,哈哈哈哈哈,000054
66,不会降幂的同学可以降雨,000032
67,真，清华被黑最惨一次,000062
68,2,000051
69,贴心,000051
70,这个我会,000032
71,干嚼效果好,000033
72,是南朝鲜 没有韩国这国家,000045
73,我杀我自己,000030
74,阻断疫苗？？？洁身自好不比这玩意强？,000053
75,中基牛的哇,000033
76,这三观太正了,000046
77,前面福岛辐射的，该不会是傻子吧,000044
78,镇上一块五，没有两块,000044
79,懂了，肉体伤害不痛快,000038
80,2,000051
81,对！,000046
82,这个怎么拿起来,000034
83,好家伙,000063
84,三连给了,000046
85,鼻子歪了,000045
86,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,000038
87,2,000051
88,都是有钱人  ,000043
89,？？,000031
90,麻衣！,000029
91,遛狗 哈哈哈 她自己溜自己,000045
92,这个题看不懂建议重学初二,000032
93,不觉得疑惑的举个手,000056
94,耻辱柱，别钉在我身上，我可钉不起这种玩意，我不该承受这样的伤害,000062
95,踩晚了直接不合格，刹屁啊,000054
96,妙啊,000056
97,杨幂,000032
98,你不要过来啊,000050
99,这个应该算是基因问题吧？优胜劣汰,000030
100,性教育的重要性！！,000053
101,就离谱,000034
102,哈哈哈哈哈,000048
103,虚数根好吧，你这么做纯属碰巧,000032
104,一天了，还有救吗,000051
105,武汉好点的都2W+起步,000059
106,保证不知道是真是假。,000039
107,害怕,000036
108,哈哈哈,000055
109,鳄鱼：你觉得你很幽默吗？,000038
110,好家伙，一个视频挖了俩坑,000033
111,我的天,000054
112,卑微,000060
113,老师好,000038
114,爱人 所爱之人啊,000037
115,盐可不只是调味品，盐是身体必须的矿物质,000044
116,草,000050
117,人所谓的不干扰大自然只是为了满足自己罢了，明明自己也是自然的一部分,000030
118,这叫读死书,000062
119,山羊为什么会往这么坑的方向进化呢,000030
120,编号,000030
121,哈哈哈哈哈,000059
122,直接举报就行，故意传播疾病是犯罪的,000053
123,加油！持续关注,000037
124,这熟悉的中基,000033
125,好可爱,000036
