,弹幕,vid
0,麻衣世界第一完美对象,000465
1,还有花纹,000468
2,200,000463
3,可以可以！,000461
4,欢迎,000460
5,你是龙 也好,000457
6,徐悲伤,000469
7,孩子吃了很喜欢,000457
8,牛,000461
9,传 销 行 为 ,000458
10,我爱冰冰,000456
11,1,000456
12,不要把希望交给政客，我们大家一起把世界变得美好,000460
13,危,000458
14,买卖,000466
15,中枪,000458
16,杀,000456
17,明白了我们都是缴税大户,000466
18,超人强直呼内行！哈哈哈哈哈,000462
19,卡盟,000463
20,真的很需要这样的一个平台,000461
21,求生欲很强嘛,000456
22,好样的洗脑太成功了，马上就去学习,000458
23,太公姓姜吗？算命的,000468
24,泪目,000461
25,感谢,000461
26,吃相真难看,000466
27,走跟我进屋。,000465
28,首页通知书,000461
29,这买bar怎么买？,000462
30,真实,000458
31,公屏,000458
32,高考抄答案无敌,000459
33,首房首贷不能丢啊,000466
34,1,000456
35,有钱人不学习也是有钱人啊,000464
36,我的,000456
37,1,000456
38,斯！过！哒！,000465
39,双倍的快乐,000462
40,中枪,000458
41,大家看视频请尊重他人，不要无脑玩梗，别觉得自己很幽默，如果弹幕中有不良言论，希望大家进行共同举报,000459
42,啥,000458
43,水猴子！,000457
44,明白了，不买房最划算,000466
45,妈妈：他还能有两个头嘛,000460
46,爷青回,000463
47,爱学习,000456
48,欢迎,000460
49,300duo,000463
50,真实,000458
51,而是所有的人,000460
52,经典200,000463
53,UP主善良的好人,000461
54,，,000461
55,这是卓别林在电影里的演讲,000460
56,这能8P,000462
57,真的 8000砸下去能用到倒闭,000463
58,让父母把房卖了，给子女钱就行了,000466
59,哇，我幼儿园那会就是这样的,000463
60,我,000456
61,卧槽,000462
62,中枪,000458
63,我竟然听懂了一半,000460
64,兄弟，你真的很好看,000459
65,哇哇哇,000461
66,公屏,000458
67,111,000456
68,哈哈哈，我开过,000463
69,没错，是我,000463
70,哈哈哈哈哈哈,000457
71,每天赚的钱只够吃饭，不关注当下怎么活,000464
72,1,000456
73,西斯龙怪物,000462
74,你TM在说谁家的,000456
75,都是演的哈哈哈哈,000468
76,太真实了,000458
77,哈哈哈哈哈，还真信啊hhhhhh,000469
78,2,000456
79,海猴子写了吗,000457
80,辛苦啦！！！！！！！！！！！！！,000461
81,举报了,000464
82,我靠 第一次就是田柾国！！！,000458
83,为了自由而战,000460
84,易建三联,000460
85,厉害,000461
86,估计要拔完,000468
87,哇别人的十几岁,000462
88,国宝啊,000468
89,排兵布阵,000460
90,我超喜欢玩这个，虽然已经高中了,000460
91,当年5元30兆流量聊一个月QQ都不一定能用完,000463
92,爱冰冰,000456
93,哈哈哈哈,000457
94,哈哈哈哈哈哈,000457
95,已支持,000457
96,爷青回,000463
97,我靠 好看呐,000468
98,制服诱惑,000462
99,冰冰你抱走那宝国老师我带走了doge,000456
100,会不会有侵权问题,000461
101,爷青回,000463
102,徐悲鸿hhhhh笑死我,000469
103,冲冲冲,000461
104,心疼，祝你生活愉快！听着声音就想哭,000459
105,你怎么证明这东西是你家代代相传的？,000468
106,绝对不可能,000462
107,百分之二十四亿人，很多人了,000459
108,直接给钱不好吗,000466
109,刀他,000456
110,冲冲冲,000461
111,这句话是谁说的啊,000460
112,马长了猪腰子脸,000469
113,牛逼,000468
114,因为万恶的资本家,000464
115,1,000456
116,真实太真实了,000458
117,膝盖隐隐作痛,000462
118,上初中那会真能刷 红黄蓝绿钻 超q和会员  那会用的是短信漏洞 ,000463
119,冲冲冲,000461
120,i了i了,000461
121,太棒了,000461
122,哈哈,000469
123,好的，下次一定,000458
124,哇哈哈哈，谢谢你们,000461
125,孩子，人人都有一个头。,000460
126,支持,000461
127,大欢喜女菩萨,000462
128,过分！,000466
129,欢迎来到收藏和赞一样多系列,000461
130,谢谢大佬,000461
131,我看到这里基本上已经没有毅力看下去了,000458
132,早日成功！,000459
133,期待江湖是下一个掘金,000461
134,辽宁。湖北。 这两个重灾区。 以前还有链接支付的,000463
135,妈耶,000469
136,是什么让我们相遇,000462
137,游戏占一大堆,000459
