,弹幕,vid
0,顶顶顶,000485
1,报道,000484
2,原来是你,000472
3,原来如此,000479
4,不知道的还以为要讲鬼故事,000479
5,战术破音,000478
6,青海人懵逼,000476
7,鬼鬼祟祟的,000479
8,呱呱,000484
9,多好，我刚蹲着在发力,000481
10,我特么宁可截掉,000475
11,下次吧 今天有点累,000484
12,你会吃小孩吗,000479
13,你们都不举啊？,000471
14,害怕,000479
15,报道,000484
16,呱,000484
17,吓得我赶紧去刷牙,000482
18,想一想，为什么会刷到这个视频,000481
19,草率了,000479
20,这样是有这样的纸箱子，胶带厂会破产,000479
21,以前有动画片画过，还挺可爱的哈哈哈哈,000476
22,我帮我好兄弟吕行看看,000471
23,鬼才,000475
24,他好吓人,000479
25,天残脚,000475
26,不算贵，也是贵,000477
27,好帅啊,000476
28,属于啊,000485
29,这次一个,000484
30,专业,000478
31,你们都喜欢冰冰，那莹莹给我吧！【义正严辞,000478
32,瞄,000484
33,鲁念也好看,000478
34,老婆好漂亮啊,000478
35,我尼玛orz，，,000471
36,植物大战僵尸（狗头）,000476
37,玛纳嘉尔姆,000476
38,人已经牙酸没了,000482
39,这个在西游记里经常听到,000472
40,那么在哪里可以买到呢,000478
41,你只是工具人，把工具的作用发挥出来就行了。,000483
42,！,000478
43,成本高,000479
44,厉害呀,000475
45,是国家在偷偷进步,000476
46,我tm在吃饭QAQ,000475
47,青海人震惊,000476
48,这不是幽灵公主里的邪魔,000476
49,谁敢打,000485
50,妙啊,000479
51,呱,000484
52,哈哈哈哈哈哈哈哈哈,000476
53,下次一定,000484
54,顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶,000485
55,草,000476
56,两只脚都这样做能不能走路呢,000475
57,感觉好痛,000482
58,解锁新老婆,000478
59,五条悟,000476
60,系统用中文的好像是假的吧,000477
61,曹刘,000484
62,开幕雷击,000475
63,帮姚菲学一下,000481
64,汪,000484
65,报啥？,000484
66,连夜成立环保局,000485
67,报道,000484
68,兄弟们我全中,000471
69,兄弟们拔刀吧，,000478
70,都这样了你放啥马后炮呢,000485
71,挺美的,000476
72,用脚替代膝盖,000475
73,我觉得不痛就是酸,000482
74,已经开始疼了,000482
75,我05的，你再骂,000477
76,我帮刘亿超看看,000481
77,12,000484
78,我喜欢这个！！,000478
79,哈哈哈哈哈,000481
80,帮朋友看,000471
81,是你！！！,000472
82,报道,000484
83,头晕了,000471
84,全国农村都这样,000485
85,治疗源于实践,000475
86,铁翼破音少女,000478
87,德国真的牛逼,000479
88,怎么还提到我家小丁了,000476
89,我全都要！,000478
90,严惩！,000485
91,呱,000484
92,哈哈哈哈哈哈哈哈哈哈哈,000476
93,吸吸吸,000473
94,纸箱厂就破产了,000479
95,呱呱呱,000484
96,铁翼飞旋我爱你！,000478
97,节约用电啊筒子们,000477
98,哈哈哈哈哈哈,000476
99,直升机训练,000478
100,BGM不错,000484
101,颜值真不错,000476
102,为什么要装反啊。,000475
103,hhh我也以为是这么走的,000476
104,建议帅锅给宁德时代,000477
105,别骂了,000479
106,空降0:36,000482
107,卧槽原来是你！我一直以为是小区的麻雀,000472
108,只有油贵只有油贵,000477
109,杀一下,000482
110,蟹蟹,000477
111,90后被迫变成中年人。。。,000477
112,卧槽,000475
113,反向伏拉夫,000479
114,带善人！,000484
115,NB！,000475
116,嗜睡  失眠  神奇,000471
117,作业帮,000484
118,天呐,000485
119,小红书,000484
120,啊啊啊疼,000482
121,解锁新老婆,000478
122,同款抗噪,000478
123,要是关了字幕和声音会非常有趣,000479
124,查出来是谁！一定要严惩不贷！,000485
125,必须严惩恶势力,000485
126,这个见过本尊,000472
127,手里的糖突然不香了,000482
128,刚拉完就给我推了,000481
129,害怕,000479
130,弹幕礼仪呢？,000479
131,新老婆,000478
132,你才是中年人 你们全家中年人,000477
133,勺子杀人狂,000479
134,哈哈哈哈,000476
135,我也喜欢老师,000480
136,+,000483
137,牙酸,000482
138,这不就是黑社会吗,000485
139,福建的,000478
140,那么小声还想开飞机？,000478
141,卧槽,000475
142,顶,000485
143,谁还敢举报,000485
144,好家伙全中还有救吗,000471
145,这个梗没有一定岁数听不懂,000476
146,也看看人家咋设计的呗,000479
147,房东收的贵,000477
148,妈耶,000480
149,老谢,000485
150,呱,000484
151,怕热阶段,000471
