,弹幕,vid
0,哈哈哈,000457
1,只想说卧槽,000466
2,这塑料太好看,000468
3,太真了,000458
4,郭靖 黄蓉,000463
5,我还真开过；朋友帮开的，免费，卡了三天,000463
6,我是显示昨天到期，哈哈,000463
7,2,000456
8,但是问题在于，用是什么的时候  我是真的很少做完啊！（quq）,000458
9,极 恶 中 队,000460
10,那，wdnmd，你这个崽种怎么说？,000465
11,1111,000456
12,折现吧,000466
13,卧槽，赶紧供着,000468
14,上周的。,000468
15,一个头大，一个头小,000462
16,鬼才爱学习,000456
17,111111,000456
18,鲸鱼,000457
19,我妈厉害，从小就写我名,000466
20,上周的（）,000468
21,中枪,000458
22,刷个好几十年也和永久差不多了,000463
23,1111,000456
24,招人吗？除了技术我全能！,000461
25,听不懂人话233,000469
26,辛苦了,000459
27,这就是核爆吗？,000460
28,1,000456
29,66666,000462
30,轩辕剑,000468
31,埃米纳姆上线,000460
32,取消赞了,000456
33,好的，这就下单了,000457
34,蓝胖,000462
35,喜欢！,000461
36,太真实了,000458
37,欧蕾三舅，和瓦塔西三舅你选哪个？,000465
38,公屏,000458
39,株连哈哈哈哈,000468
40,中枪,000458
41,我才18，我知道这个的,000463
42,哈哈哈哈,000469
43,加油,000461
44,支持你,000461
45,206差不多,000462
46,卡成狗,000461
47,111111,000456
48,1,000456
49,说的也有道理哦,000464
50,谢谢！,000461
51,祝你生活愉快,000459
52,封面笑死,000462
53,公证这么抢钱啊？,000466
54,水猴子,000457
55,超q时代的记忆,000463
56,卧槽,000462
57,一天在校时间15小时，你不困?,000464
58,不要仇恨！只有没人爱的人和丧失本性者才仇恨！,000460
59,肉鸡,000463
60,？？？,000466
61,这个太熟悉，互联星空,000463
62,加油！,000461
63,种草,000457
64,下次一定,000461
65,阴 间 海 报,000457
66,辛苦了,000459
67,广东中山}外内{山西运城一4G移动8元月卡站踩过,000462
68,我可以,000462
69,正南方向,000457
70,b站的免费，不是b站的呢,000461
71,百 妖 谱,000457
72,震惊,000467
73,上帝拯救不了贪婪的人类，人类只能靠自己拯救，靠自己改变现状,000460
74,1,000456
75,祝好,000459
76,有钱,000463
77,我们老师说あたし的说法现在一般都是奶奶辈用的了,000465
78,1,000456
79,哭了,000463
80,摸摸,000459
81,我刷过,000463
82,好长,000468
83,现在还可以,000463
84,之后就去刷b站,000458
85,慢慢来,000459
86,隔着屏幕感到臭味,000460
87,1,000456
88,1,000456
89,好漂亮,000468
90,我的钻都是按月付费中,000463
91,按F就可以进入了啊,000462
92,真实,000458
93,我就是因为这些喜欢的冰冰,000456
94,…………好辛苦,000459
95,标题党,000466
96,下次投币一定，这次没了,000458
97,哈哈哈哈哈哈哈哈哈哈哈哈,000469
98,芜湖,000461
99,卡盟没失效,000463
100,中枪,000458
101,如果父母以1元的价格卖给我，那么我应该交多少税呢？,000466
102,请注意，言辞，尊重人家！,000462
103,爷青回,000463
104,上周的,000468
105,草,000462
106,纽币,000461
107,现在还能刷,000463
108,1,000456
109,为什么在咱们这不管用，因为中国没朋友,000464
110,草太真实了,000458
111,升级,000460
112,难的是涨300w，真能涨我宁可给60w，也赚240w呢，不涨全是空话,000466
113,1,000456
114,请问有水猴子吗(,000457
115,干嘛给房子，给钱不香么,000466
116,11,000456
117,一看就玩了几十年，得到时中国还没成立,000468
118,握草,000468
119,哈哈哈哈哈哈,000469
120,1111111,000456
121,1,000456
122,那是华尔街之狼,000463
123,我就是爱冰冰,000456
124,涨不了了,000466
125,加油,000461
126,看完了我又觉得我行了,000458
127,我充过。。。。。,000463
128,好好活,000459
129,好家伙,000458
130,哈哈哈哈哈哈哈哈,000469
131,与流量明星最大不同？,000456
132,1,000456
133,1,000456
134,会睡觉,000458
135,哈哈哈哈,000457
136,好家伙,000461
137,古加尔,000462
