,弹幕,vid
0,就是我,000458
1,和不懂美术的人交流真是好尴尬,000469
2,上周的青铜剑,000468
3,三个奶，那中间那个奶是谁的？(doge),000462
4,结婚的人会越来越少,000466
5,支持！,000461
6,？？？,000462
7,抱抱,000459
8,我有个兄弟就是这个病  但是他很坚强 我很佩服他,000459
9,oohhhhh,000462
10,我捉包卡的 SVIP 绿钻  黄钻 现在都在 只掉了一个微云会员,000463
11,并不会，学的散打。,000462
12,可爱,000462
13,两万？,000466
14,双倍快乐,000462
15,真实,000458
16,学习资源从哪来呢,000461
17,20,000463
18,加油,000461
19,1111111,000456
20,牛逼,000461
21,哈哈哈哈哈,000467
22,我就是爱冰冰,000456
23,是真的，17年超级会员黄钻绿钻蓝钻至今,000463
24,50,000463
25,怎么做？,000458
26,明着抢你的钱你有什么办法，呵呵,000466
27,《路加福音》写着，神的国就在人间！,000460
28,收藏夹里吃灰去吧,000458
29,爷青回 爷青回 爷青回,000463
30,02年这些也完全知道,000463
31,我靠,000462
32,世界上真有这种人？,000462
33,明抢,000466
34,必须三连啊,000461
35,双倍快乐,000462
36,这次一定,000461
37,嗦嘎,000458
38,龟龟,000468
39,中枪,000458
40,抢钱啊,000466
41,支持一下,000461
42,公屏,000458
43,要收税,000466
44,中枪,000458
45,张翼德在此,000462
46,big aunt,000467
47,滚,000464
48,早产七个月？,000459
49,哈哈哈,000457
50,18年就还有,000463
51,动物帮,000462
52,在现场,000469
53,挂掉了,000462
54,来了,000461
55,还有环境等因素,000464
56,呃 ,000466
57,冰冰女性受众其实更多,000456
58,贬值了会倒给钱吗？,000466
59,还tm长期规划？你让他过穷人日子试试，他一天光为了吃就累死，规划个屁,000464
60,虽然我不懂可能一辈子也不会打开这个网页，但是我给你三连支持希望可以帮到更多人,000461
61,船新版本,000457
62,你很棒,000459
63,好帅,000468
64,哈哈哈哈，这哥们也太耿直了点,000469
65,你nnd，哈哈哈的过来，你哈个棒棒锤哈,000459
66,勉强能听懂,000460
67,道理都懂，要做到才是关键,000464
68,11111111,000456
69,欢迎！,000460
70,？打的西斯龙？这肌肉状态不对劲啊,000462
71,破坏球,000462
72,111,000458
73,100,000463
74,头可以面对面吗？,000462
75,冲冲冲,000461
76,苏联的存在就是说明这个理念的失败,000464
77,这是最重的一次刑了,000468
78,好心疼，,000459
79,爷青回,000463
80,打篮球,000462
81,15,000463
82,？？？,000466
83,1,000456
84,不是要交遗产税吗？,000466
85,中枪,000458
86,入股了入股了,000461
87,不要在意!,000459
88,时期来了，时期来了,000467
89,period,000467
90,水猴子,000457
91,不,000456
92,爱冰冰,000456
93,超级QQ卡BUG我卡过,000463
94,666666,000462
95,啊啊啊啊我好想把他衣服的领子给挪正啊,000460
96,111111,000456
97,《男朋友》,000462
98,不是B站的呢,000461
99,《polite》,000467
100,1,000456
101,你祖上看来是将军啊,000468
102,希望可以早日解决这类问题,000459
103,“到时候”就是“后会无期”哈哈哈哈哈哈,000458
104,牌面,000456
105,感谢大佬！,000461
106,冲鸭,000461
107,你为什么知道我这段时间来月经？大数据？给我出来挨打,000467
108,啊,000457
109,up主加油！,000461
110,下次一定,000458
111,我想问学了有什么用,000464
112,还是继承好,000466
113,加油！！！！,000461
114,危,000458
115,用嘴去接第三只啊,000462
116,1,000456
117,孩子真的不会被吓死吗啊哈哈哈哈,000457
118,抱抱,000459
119,我已经五年了没掉…,000463
120,首页通知书,000461
121,买一送一,000462
122,天啊,000460
123,妈耶，这就是我,000458
124,说的是事实啊，大家在喷什么？？,000464
125,没死叫什么继承,000466
126,1111111,000456
127,这大长腿,000469
128,爱学习,000456
129,肉鸡钻？,000463
130,1,000456
131,哈哈哈哈哈哈哈哈哈,000457
132,？？？？,000459
133,生化打击,000460
134,？？？？,000466
135,有毛用啊,000466
136,1,000456
137,《哈哈哈》,000457
