,弹幕,vid
0,黄色节制,000171
1,致敬,000164
2,致敬,000164
3,致敬,000164
4,“自愿”加班,000167
5,你币有了,000167
6,新西兰啊,000165
7,危,000166
8,致敬,000164
9,我就在武汉 ,000166
10,致敬,000164
11,老师：lack比need高级doge,000170
12,真无语，我觉得up也是有病,000166
13,新年快乐！,000171
14,董卿老师o(^o^)o,000172
15,牛和鲶鱼合体,000168
16,致敬,000164
17,撒尼,000172
18,没钱,000166
19,美国妈妈好,000172
20,岁月从不败美人,000172
21,撒撒,000172
22,老婆！！！！！！！！！！！！,000165
23,被枪指着还敢往前走,000171
24,法老？,000168
25,辟邪剑谱,000168
26,？,000166
27,我想看看她下一步怎么骗，你交三千让我开开眼界吧,000166
28,罗老师：给我整不会了,000171
29,打部分,000165
30,好温柔的语调，好喜欢....,000170
31, 致敬,000164
32,半圣,000164
33,致敬,000164
34,家V,000166
35,罗翔老师的哲学小课堂,000171
36,不是啊，因为妮妮就是去新西兰留学的啊,000165
37,嘿嘿，我这儿天天这个点儿一分都没有,000167
38,牛来,000168
39,同化,000168
40,撒撒啊啊,000172
41,哈哈哈,000166
42,他,000166
43,这么美？这么可爱你为什么能面无表情得看,000165
44,时代变了,000171
45,都喜欢,000172
46,撒撒,000172
47,致敬,000164
48,知世故而不世故,000171
49,致敬,000164
50,共享位置不好吗,000166
51,致敬,000164
52,唉，不加班，没什么钱的,000167
53,find哈哈哈哈,000170
54,骗子啦,000166
55,这句话我用过！！！！,000172
56,还有敬业福,000168
57,naughty sister,000170
58,追求美,000171
59,我朋友想详细了解一下这个骗子,000166
60,致敬,000164
61,致敬,000164
62,致敬,000164
63,热乎,000165
64,哈哈哈哈哈哈哈哈哈哈哈哈哈,000168
65,哈哈哈哈哈哈哈哈,000171
66,致敬,000164
67,鉴黄师：你再骂！！！！！！,000171
68,你币有了,000167
69,有品,000166
70,黑手徒弟,000168
71,哈哈哈瘆得慌,000168
72,有快进吗,000171
73,好厉害，十岁的小孩一个人在国外生活,000165
74,进我家之前请填写入侵理由,000171
75,阅片无数第亿集,000171
76,就是要贬她！,000170
77,哈哈哈哈哈哈哈哈哈哈哈哈,000171
78,致敬,000164
79,天津话,000168
80,致敬！,000164
81,哈哈哈哈哈哈哈哈哈哈,000166
82,哈哈哈,000171
83,！！！,000172
84,这个我认识,000168
85,董卿,000172
86,这玩意都没见过血，辟个屁邪,000168
87,私人财产,000171
