,弹幕,vid
0,修炼？,000115
1,流浪地球,000119
2,哪里来的70% 你懂不懂？,000099
3,我干的,000115
4,泪目,000105
5,借你吉言,000108
6,完了我一天5次,000109
7,大宝,000116
8,致敬！,000113
9,请未成年鞭炮在成年鞭炮陪同下观看场面极其恐怖,000124
10,害怕,000107
11,永动机，又是一个没上过学的人,000122
12,你 过来呀,000118
13,可可,000123
14,致敬,000113
15,你币有了,000115
16,下次丕定,000115
17,压强,000122
18,祖传的：刚挖,000123
19,这种枕头没用,000102
20,致敬,000113
21,大宝,000116
22,卧蚕,000100
23,致敬,000113
24,考虑换个老婆吗？宝友,000114
25,要不换个丑的试试？,000108
26,1.3万,000120
27,那是火腿肠吗,000114
28,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？,000119
29,我怎么突然变色了,000115
30,nnmm哈哈哈哈,000116
31,泪目,000105
32,启初宝宝霜,000116
33,七日香,000116
34,您可真是个人,000121
35,哈哈哈哈哈哈,000105
36,这个吞音不太友好,000096
37,又寸,000101
38,不做功的都在耍流氓,000122
39,怪不得,000114
40,直接社死,000107
41,哈哈哈哈,000123
42,打工人狂喜,000100
43,妙啊,000100
44,公开的秘密,000099
45,大片,000124
46,有一次我爸带我出去逛街，我爸给我买衣服挑衣服，然后那个导购员说，您的孙女儿适合那件衣服，给我爸气笑了都，我赶紧解释,000098
47,这可不兴戴啊,000121
48,悲催可还行,000101
49,明白了,000111
50,听懂了,000100
51,云天明狂喜(害怕),000115
52,泪目,000105
53,仁义不施，而攻守之势异也,000100
54,哈哈哈哈哈哈,000123
55,明白了,000111
56,我已经张开嘴想吃了,000107
57,亚瑟摩根,000115
58,黛珂,000116
59,泪目,000105
60,这个我们化学刚学过！,000122
61,保护,000099
62,友军在下面！,000119
63,多喝硫酸,000115
64,蹭热度,000099
65,百山 主角 蟾,000106
66,碰瓷的,000099
67,放屁,000109
68,半泽直树bgm,000100
69,于是你的播放量起来了,000101
70,面壁者,000105
71,这个好这个好。哈哈。,000100
72,13983,000120
73,如果忽然用力会怎么样？,000118
74,你过来呀,000118
75,我超勇的,000115
76,泪目,000105
77,啊啊啊啊啊,000100
78,我不信,000104
79,笑死我了，这up主连现金价值都没弄明白就在这夸夸其谈,000099
80,离我妈远点,000122
81,不知道为什么有点心疼她,000105
82,杰哥狂喜,000118
83,泪目,000105
84,？9,000124
85,初中物理,000122
86,借你吉言,000108
87,泪目,000105
88,9400,000120
89,OHHHHHHHHHHHHHHHHHH,000106
90,这个角度有点像张毅，小太爷,000121
91,手刚挖完煤xswl,000114
92,过世了才瞻仰,000104
93,开始装逼,000104
94,？？？？,000118
95,水猴子时间,000122
96,借你吉言,000108
97,哈哈哈哈哈哈哈哈哈,000123
98,哈哈哈哈哈哈哈哈哈哈哈泪目,000105
99,水猴子时间,000122
100,一看你就缺少,000109
101,玉泽,000116
102,这很好懂啊,000119
103,罩子被烧鼓了！！！,000122
104,2,000099
105,养乐多风评被害,000107
106,Labview最快,000125
107,哈哈哈哈哈哈,000118
108,只买车险,000099
109,冰溪,000116
110,炫富，nb,000104
111,哈哈哈哈哈哈哈哈哈哈哈哈,000105
112,是黑崎娘娘,000118
113,胡说了吧,000115
114,泪目泪目,000105
115,多吃肉,000119
116,抽烟喝酒吃肥肉,000115
117,a'q?,000101
118,？,000112
119,爸，妈，您二老介意多养一个巨婴孩子吗,000114
120,讲了这么多 那我想问什么时候涨工资,000100
121,前方高能,000124
122,哈哈哈,000107
123,？？？？？这是我这种穷人能看的吗？,000114
124,保护,000099
125,p2在哪,000099
126,这就去买海螺珠,000112
127,泪目,000105
128,搁那念稿子呢,000109
129,打假赛的提前倒下,000122
130,2,000099
131,这思路牛批啊,000119
132,传销?,000099
133,性别不要卡得太死,000116
134,泪目,000105
135,不用,000116
136,哈哈哈哈哈,000121
137,?,000119
138,致敬,000113
139,？,000114
140,初三化学,000122
141,流 浪 地 球,000119
142,还以为是茶叶蛋,000112
143,保护,000099
144,怎么办我要笑死了,000118
145,哎哟喂，开小蓝鸟可委屈死您了doge,000114
146,注解好评，投币了,000121
147,好好看啊,000114
148,？？？？,000109
149,老男同了,000105
150,我是真的对大选不感兴趣呀...,000100
151,坏女人,000121
152,你家里缺儿子吗,000114
153,官方鬼畜,000105
154,然而人的肌肉不锻炼会退化，其他的动物不会,000115
155,竺校长好！,000119
156,靠，感觉真就南方现状，明明就一个市但隔一个乡口音就多少有点不一样,000106
157,带着土哈哈哈,000123
158,春招都一半了。。。,000111
159,有没有女的进来康康的？,000118
160,我觉得太慢了，直接二倍速,000096
161,明白了,000111
162,热 情,000117
163,不能是姐姐吗,000118
164,应该一直都很丑吧哈哈哈,000115
165,好家伙直接晃到,000116
166,一线老哥,000123
167,梦幻联动草,000123
168,地理隔离,000106
169,第二根半价,000118
170,10113Hz,000120
171,也不亲中,000100
172,1,000099
173,还不还不是不努力,000100
174,上面的老cod了,000117
175,致敬,000113
176,这个叫牛顿快乐桶。,000122
177,你可以考研，还可以考博,000111
178,好  父  亲,000117
179,明白了,000111
180,哈哈哈哈,000123
