,弹幕,vid
0,才发现后边直升机是悬停的,000478
1,设计师疑惑,000479
2,我帮任依菲看一下,000481
3,群众的力量！,000485
4,好好看,000480
5,你直接念我身份证号吧,000471
6,出海还拿着座机拍视频，挺费劲吧,000476
7,现场声音太大了,000478
8,充满了水猴子,000476
9,这不是我的目的,000484
10,999哈哈,000479
11,震惊我一整年,000475
12,敬业,000478
13,鬼鸮和长耳鸮声音都超可爱！,000472
14,帮wkj看一下,000481
15,今天不是美食 撤,000479
16,操,000485
17,用气吹才痛,000482
18,这么大的事，不可能跟他没关系,000485
19,牙根坏死做根管不痛，我做都没有打麻药,000482
20,姑姑！谷。姑姑！谷,000472
21,这是3层还是4层？,000479
22,查,000485
23,放心吧 已经被睡完啦,000478
24,橡 皮 屑 屑,000476
25,冰冰，今晚我去加个班,000478
26,不坏，纸箱子谁买？,000479
27,迷惑逻辑,000476
28,起开，我老婆都在后面排着队呢,000478
29,妈！她吼我！！,000478
30,我没了,000471
31,是的，我现在都是pp箱,000479
32,顶起来,000485
33,宇宙超人，睁开眼睛,000476
34,查,000485
35,走，回去摸鱼,000483
36,俺正在,000481
37,没 有 泄 露,000485
38,哈哈哈哈哈哈哈哈哈哈,000478
39,有点像西游降魔篇里的黄渤,000479
40,真实,000483
41,报道,000484
42,我帮我朋友看看,000471
43,报道,000484
44,下次一定,000484
45,冰冰对不起,000478
46,我朋友十项全能  还有救吗？,000471
47,不是你脑子里的黄色就右上角 谁跟你一样脑子里全是黄色,000484
48,！！老家见过！,000476
49,你质量好了  不就销量低了吗,000479
50,好酸啊,000482
51,报道,000484
52,帮我朋友看看,000471
53,弹幕礼仪呢？你长得就好看是吗？,000479
54,《寄 坏 虫》,000476
55,报道,000484
56,代入感很强，牙齿掉了,000482
57,卧槽,000475
58,水猴子打人了,000476
59,一定要保护好牙齿，补牙真的酸爽,000482
60,不是很疼，但是特别酸酸的无法忍受。,000482
61,熟悉！！！,000472
62,我一次补了四颗,000482
63,德国人喜欢把纸箱就在家里？,000479
64,新老婆来啦,000478
65,我帮张伽宁看一下,000481
66,报道,000484
67,是你！！，！,000472
68,吸吸吸吸吸吸吸吸吸吸吸吸,000473
69,我的心还是冰冰的,000478
70,哈哈哈哈哈哈哈你们朋友和我朋友想的一样……,000484
71,拉闸限电,000477
72,顶,000485
73,是一点都不贵，还降低了,000477
74,就是你,000472
75,有种芬格尔的感觉哈哈哈,000479
76,报到,000484
77,小孩子才做选择,000478
78,？,000481
79,？？？？？？？？,000484
80,好好看,000478
81,可拉倒吧,000479
82,树胶,000482
83,淘宝,000484
84,吱吱吱吱……,000482
85,四仔的音乐诶*罒▽罒*,000476
86,什么美人鱼，明明是海王,000476
87,就是这个！！！,000472
88,真男人的关注点只有直升机,000478
89,水猴子！！！,000476
90,不能摸了 快下班了,000483
91,哈哈哈哈哈哈哈哈,000476
92,因为996是福报,000483
93,你再骂。。。,000477
94,就是你最近天天叫！,000472
95,我帮lxy和jyt看一下,000481
96,1,000484
97,逼乎,000484
98,这个设计很实用，减少浪费和污染,000479
99,一辈子搬十次房子都够折腾了,000479
100,呱,000484
101,我跟你讲有的时候磨到舌头真的很疼,000482
102,太纯了太纯了,000476
103,冰冰你听我狡辩,000478
104,扶沟县扶沟县,000485
105,人终究会活成自己讨厌的样子,000483
106,我的牙开始疼了,000482
107,我帮冷小希看看,000481
108,破音了,000478
109,我在拉,000481
110,我学会了,000479
111,白天嗜睡，晚上失眠，没毛病,000471
112,害怕,000479
113,做这个只有一点点疼。别问我怎么知道的？,000482
114,原来是你,000472
115,瓜,000484
116,冲洗根管,000482
117,全中,000471
118,你那没通电？你哪国的？带节奏的NC,000477
119,哇牛逼牛逼,000485
120,我爱中过,000485
121,为什么首页推这个,000481
122,谢谢，牙已经开始疼了,000482
123,正在处理！！！呵呵,000485
124,这个更好看,000478
125,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,000472
126,紅月之夜,000476
127,说打麻药不疼的，你们漏过神经吗,000482
128,呱,000484
129,哈哈哈哈哈,000481
130,放屁,000485
131,我补了好多颗牙齿,000482
132,云南省3毛6一度电,000477
133,为追击百慕拉而来的宇宙英雄奥特曼（bushi,000476
134,...像極了妖術,000475
135,帮吴雒金珠看一下,000481
136,她始终戴着我送她的红色耳机,000478
137,哈哈哈哈哈哈哈哈,000476
138,蓝色的是磷酸,000482
139,这个好适合演绎,000476
140,张扬 冰冰 ,000478
141,不兴戴呀,000480
142,帮朋友看,000471
143,转起来了转起来了,000476
144,已经开始疼了,000482
145,很喜欢这个叫 铁翼飞旋 的女记者,000478
146,帮张含看看,000481
147,有麻药啊,000482
148,这里好多,000472
149,中国NB,000477
150,那些时候有一个阅读理解就是这样的 ,000476
